orf_name_a	gene_name_a	orf_name_b	gene_name_b	n_evidence	category
YHR016C	YSC84	YPR171W	BSP1	5	Lit-BM
YDR323C	PEP7	YLR148W	PEP3	2	Lit-BM
YMR280C	CAT8	YMR280C	CAT8	3	Lit-BM
YNL247W		YNL247W		2	Lit-BM
YFR027W	ECO1	YJL019W	MPS3	4	Lit-BM
YDL010W	GRX6	YDL010W	GRX6	3	Lit-BM
YDR167W	TAF10	YPL248C	GAL4	3	Lit-BM
YDL225W	SHS1	YDR510W	SMT3	7	Lit-BM
YAL021C	CCR4	YPR072W	NOT5	3	Lit-NB
YBR109C	CMD1	YFR014C	CMK1	5	Lit-BM
YDR077W	SED1	YEL065W	SIT1	2	Lit-BM
YBR211C	AME1	YIR010W	DSN1	5	Lit-BM
YER173W	RAD24	YPL194W	DDC1	2	Lit-BM
YAL047C	SPC72	YLR212C	TUB4	6	Lit-BM
YHR016C	YSC84	YPR055W	SEC8	3	Lit-BM
YFL038C	YPT1	YGR172C	YIP1	5	Lit-BM
YDR216W	ADR1	YPL240C	HSP82	1	Lit-BS
YBR041W	FAT1	YDL052C	SLC1	1	Lit-NB
YFL037W	TUB2	YPL253C	VIK1	2	Lit-BM
YDR159W	SAC3	YOR257W	CDC31	7	Lit-BM
YER025W	GCD11	YPL237W	SUI3	8	Lit-BM
YCL051W	LRE1	YNL161W	CBK1	3	Lit-BM
YML058W-A	HUG1	YMR105C	PGM2	1	Lit-BS
YLR335W	NUP2	YLR347C	KAP95	13	Lit-BM
YDR448W	ADA2	YGR252W	GCN5	28	Lit-BM
YBR175W	SWD3	YHR119W	SET1	7	Lit-BM
YDL239C	ADY3	YOL091W	SPO21	2	Lit-BM
YJR053W	BFA1	YNL164C	IBD2	2	Lit-BM
YBR200W	BEM1	YJL157C	FAR1	6	Lit-BM
YBR189W	RPS9B	YDR510W	SMT3	2	Lit-BM
YDR244W	PEX5	YNL214W	PEX17	6	Lit-BM
YDR446W	ECM11	YOL069W	NUF2	2	Lit-BM
YBL085W	BOI1	YER124C	DSE1	3	Lit-BM
YDR510W	SMT3	YNL290W	RFC3	2	Lit-BM
YGR072W	UPF3	YHR077C	NMD2	2	Lit-BM
YEL018W	EAF5	YFL024C	EPL1	4	Lit-BM
YER044C	ERG28	YLR100W	ERG27	5	Lit-BM
YDR201W	SPC19	YOL069W	NUF2	3	Lit-BM
YER082C	UTP7	YLL011W	SOF1	0	Lit-NB
YIL033C	BCY1	YJL164C	TPK1	8	Lit-BM
YER172C	BRR2	YOR308C	SNU66	7	Lit-BM
YBL085W	BOI1	YML109W	ZDS2	3	Lit-BM
YBL007C	SLA1	YJL201W	ECM25	1	Lit-BS
YJR022W	LSM8	YNL050C		2	Lit-BM
YLR191W	PEX13	YNL214W	PEX17	3	Lit-BM
YDR486C	VPS60	YLR181C	VTA1	8	Lit-BM
YBR077C	SLM4	YGR163W	GTR2	3	Lit-BM
YBR172C	SMY2	YLR116W	MSL5	5	Lit-BM
YGL001C	ERG26	YGR175C	ERG1	2	Lit-BM
YKL172W	EBP2	YLR276C	DBP9	1	Lit-BS
YHR175W	CTR2	YPL246C	RBD2	1	Lit-BS
YGL098W	USE1	YGL145W	TIP20	3	Lit-BM
YHR118C	ORC6	YHR118C	ORC6	2	Lit-BM
YDR510W	SMT3	YPR133C	SPN1	2	Lit-BM
YLR310C	CDC25	YLR310C	CDC25	2	Lit-BM
YGL025C	PGD1	YKR083C	DAD2	2	Lit-BM
YBR154C	RPB5	YPR187W	RPO26	3	Lit-BM
YER033C	ZRG8	YMR109W	MYO5	2	Lit-BM
YDR052C	DBF4	YNL261W	ORC5	2	Lit-BM
YMR077C	VPS20	YPL002C	SNF8	4	Lit-BM
YDL113C	ATG20	YJL036W	SNX4	5	Lit-BM
YNL280C	ERG24	YNL280C	ERG24	2	Lit-BM
YDR127W	ARO1	YPL240C	HSP82	2	Lit-BM
YDR510W	SMT3	YMR079W	SEC14	2	Lit-BM
YDR388W	RVS167	YMR192W	GYL1	13	Lit-BM
YJR022W	LSM8	YPR178W	PRP4	2	Lit-BM
YBR089C-A	NHP6B	YDR311W	TFB1	2	Lit-BM
YEL048C	TCA17	YMR218C	TRS130	3	Lit-BM
YBL007C	SLA1	YCR030C	SYP1	1	Lit-BS
YBL033C	RIB1	YBL033C	RIB1	1	Lit-BS
YDR150W	NUM1	YOL069W	NUF2	2	Lit-BM
YDR171W	HSP42	YPL240C	HSP82	1	Lit-BS
YBR020W	GAL1	YMR117C	SPC24	1	Lit-BS
YER162C	RAD4	YHL025W	SNF6	3	Lit-BM
YER070W	RNR1	YIL066C	RNR3	1	Lit-BS
YOL111C	MDY2	YOR164C	GET4	9	Lit-BM
YIR006C	PAN1	YKL129C	MYO3	3	Lit-BM
YDR318W	MCM21	YGR179C	OKP1	4	Lit-BM
YBL103C	RTG3	YOL108C	INO4	2	Lit-BM
