orf_name	GenBank_accession	orf_space	in_db_space	in_ad_space
YAL068C	AY692604	II	1	1
YAL067W-A	DQ331400	II	1	1
YAL067C	EF059210	II	1	1
YAL065C	DQ332713	II	1	1
YAL064W-B		III	1	1
YAL064C-A	AY692632	II	1	1
YAL064W	EF058647	II	1	1
YAL063C-A		III	1	1
YAL063C		III	1	1
YAL062W	DQ331975	II	1	1
YAL061W	AY692730	II	1	1
YAL060W	AY692922	II	1	1
YAL059W	AY558168	II	1	1
YAL058W	AY692920	II	1	1
YAL056W	EF058954	II	0	1
YAL055W	AY558167	II	1	1
YAL054C	AY723758	II	1	1
YAL053W	EF058500	II	1	1
YAL051W		III	0	1
YAL049C	AY692654	II	1	1
YAL048C	EF058447	II	1	1
YAL047C	AY723757	II	1	1
YAL046C	DQ331377	II	1	1
YAL044W-A	EF058485	II	1	1
YAL044C		III	1	1
YAL043C	EF059378	II	1	1
YAL042W	DQ332490	II	1	1
YAL041W	DQ332459	II	1	1
YAL040C	AY723756	II	1	1
YAL039C	DQ332349	II	1	1
YAL038W	AY693107	II	1	1
YAL037C-A	EF058706	II	1	1
YAL037W	DQ331105	II	0	1
YAL036C	AY693042	II	1	1
YAL035W	DQ332130	II	1	1
YAL034W-A	DQ332096	II	0	1
YAL034C	DQ332089	II	1	1
YAL033W	EF059164	II	1	1
YAL032C		III	0	1
YAL031C	DQ331954	II	1	1
YAL030W		III	1	1
YAL029C		III	0	1
YAL028W		III	0	0
YAL027W	AY692559	II	1	1
YAL026C		III	1	1
YAL025C	DQ332382	II	1	1
YAL024C		III	1	1
YAL023C	EF059228	II	1	1
YAL022C	DQ332184	II	1	1
YAL021C		III	1	0
YAL020C	DQ332163	II	1	1
YAL019W	DQ332269	II	1	1
YAL018C	DQ331293	II	1	1
YAL017W	EF058923	II	1	1
YAL016W	DQ331678	II	1	1
YAL015C		III	1	0
YAL014C	EF059418	II	1	1
YAL013W		III	1	1
YAL012W	DQ332549	II	1	1
YAL011W	DQ332749	II	1	1
YAL010C	DQ332486	II	1	1
YAL009W	AY558585	II	1	1
YAL008W	AY557707	II	1	1
YAL007C	AY558166	II	1	1
YAL005C	EF059201	II	1	1
YAL003W		III	0	0
YAL002W	DQ332079	II	1	1
YAL001C	DQ331953	II	1	1
YAR002W	AY692943	II	1	1
YAR002C-A	AY557710	II	1	1
YAR003W	DQ332977	II	0	1
YAR007C	EF059167	II	1	1
YAR008W	DQ333052	II	1	1
YAR014C		III	1	1
YAR015W	EF059365	II	1	1
YAR018C	EF059472	II	0	1
YAR019C		III	1	1
YAR020C	AY692783	II	1	1
YAR023C		II	1	1
YAR027W	DQ331836	II	1	1
YAR028W	EF058586	II	1	1
YAR029W	AY692710	II	1	1
YAR031W	DQ332976	II	1	1
YAR033W		III	1	0
YAR035W	DQ332122	II	1	1
YAR035C-A	EF058723	II	1	1
YAR042W	EF059385	II	1	1
YAR050W		III	0	0
YAR064W	AY558458	II	1	1
YAR066W	AY692573	II	1	1
YAR068W	AY692598	II	1	1
YAR071W	DQ333073	II	0	1
YJL225C		III	0	0
YJL223C	AY692849	II	1	1
YJL222W	DQ331673	II	0	1
YJL221C	EF058897	II	1	1
YJL219W		III	1	1
YJL218W	AY692672	II	1	1
YJL217W	AY558254	II	1	1
YJL216C	EF058460	II	1	1
