orf_name	GenBank_accession	ORFeome_collection	screened_as_DB	screened_as_AD
YAL068C	AY692604	FLEXGene	True	True
YAL067W-A	DQ331400	FLEXGene	True	True
YAL067C	EF059210	FLEXGene	True	True
YAL065C	DQ332713	FLEXGene	True	True
YAL064W-B		CCSB_additional	True	True
YAL064C-A	AY692632	FLEXGene	True	True
YAL064W	EF058647	FLEXGene	True	True
YAL063C-A		CCSB_additional	True	True
YAL063C		CCSB_additional	True	True
YAL062W	DQ331975	FLEXGene	True	True
YAL061W	AY692730	FLEXGene	True	True
YAL060W	AY692922	FLEXGene	True	True
YAL059W	AY558168	FLEXGene	True	True
YAL058W	AY692920	FLEXGene	True	True
YAL056W	EF058954	FLEXGene	False	True
YAL055W	AY558167	FLEXGene	True	True
YAL054C	AY723758	FLEXGene	True	True
YAL053W	EF058500	FLEXGene	True	True
YAL051W		CCSB_additional	False	True
YAL049C	AY692654	FLEXGene	True	True
YAL048C	EF058447	FLEXGene	True	True
YAL047C	AY723757	FLEXGene	True	True
YAL046C	DQ331377	FLEXGene	True	True
YAL044W-A	EF058485	FLEXGene	True	True
YAL044C		CCSB_additional	True	True
YAL043C	EF059378	FLEXGene	True	True
YAL042W	DQ332490	FLEXGene	True	True
YAL041W	DQ332459	FLEXGene	True	True
YAL040C	AY723756	FLEXGene	True	True
YAL039C	DQ332349	FLEXGene	True	True
YAL038W	AY693107	FLEXGene	True	True
YAL037C-A	EF058706	FLEXGene	True	True
YAL037W	DQ331105	FLEXGene	False	True
YAL036C	AY693042	FLEXGene	True	True
YAL035W	DQ332130	FLEXGene	True	True
YAL034W-A	DQ332096	FLEXGene	False	True
YAL034C	DQ332089	FLEXGene	True	True
YAL033W	EF059164	FLEXGene	True	True
YAL032C		CCSB_additional	False	True
YAL031C	DQ331954	FLEXGene	True	True
YAL030W		CCSB_additional	True	True
YAL029C		CCSB_additional	False	True
YAL028W		CCSB_additional	False	False
YAL027W	AY692559	FLEXGene	True	True
YAL026C		CCSB_additional	True	True
YAL025C	DQ332382	FLEXGene	True	True
YAL024C		CCSB_additional	True	True
YAL023C	EF059228	FLEXGene	True	True
YAL022C	DQ332184	FLEXGene	True	True
YAL021C		CCSB_additional	True	False
YAL020C	DQ332163	FLEXGene	True	True
YAL019W	DQ332269	FLEXGene	True	True
YAL018C	DQ331293	FLEXGene	True	True
YAL017W	EF058923	FLEXGene	True	True
YAL016W	DQ331678	FLEXGene	True	True
YAL015C		CCSB_additional	True	False
YAL014C	EF059418	FLEXGene	True	True
YAL013W		CCSB_additional	True	True
YAL012W	DQ332549	FLEXGene	True	True
YAL011W	DQ332749	FLEXGene	True	True
YAL010C	DQ332486	FLEXGene	True	True
YAL009W	AY558585	FLEXGene	True	True
YAL008W	AY557707	FLEXGene	True	True
YAL007C	AY558166	FLEXGene	True	True
YAL005C	EF059201	FLEXGene	True	True
YAL003W		CCSB_additional	False	False
YAL002W	DQ332079	FLEXGene	True	True
YAL001C	DQ331953	FLEXGene	True	True
YAR002W	AY692943	FLEXGene	True	True
YAR002C-A	AY557710	FLEXGene	True	True
YAR003W	DQ332977	FLEXGene	False	True
YAR007C	EF059167	FLEXGene	True	True
YAR008W	DQ333052	FLEXGene	True	True
YAR014C		CCSB_additional	True	True
YAR015W	EF059365	FLEXGene	True	True
YAR018C	EF059472	FLEXGene	False	True
YAR019C		CCSB_additional	True	True
YAR020C	AY692783	FLEXGene	True	True
YAR023C	FLH146049.01X	FLEXGene	True	True
YAR027W	DQ331836	FLEXGene	True	True
YAR028W	EF058586	FLEXGene	True	True
YAR029W	AY692710	FLEXGene	True	True
YAR031W	DQ332976	FLEXGene	True	True
YAR033W		CCSB_additional	True	False
YAR035W	DQ332122	FLEXGene	True	True
YAR035C-A	EF058723	FLEXGene	True	True
YAR042W	EF059385	FLEXGene	True	True
YAR050W		CCSB_additional	False	False
YAR064W	AY558458	FLEXGene	True	True
YAR066W	AY692573	FLEXGene	True	True
YAR068W	AY692598	FLEXGene	True	True
YAR071W	DQ333073	FLEXGene	False	True
YJL225C		CCSB_additional	False	False
YJL223C	AY692849	FLEXGene	True	True
YJL222W	DQ331673	FLEXGene	False	True
YJL221C	EF058897	FLEXGene	True	True
YJL219W		CCSB_additional	True	True
YJL218W	AY692672	FLEXGene	True	True
YJL217W	AY558254	FLEXGene	True	True
YJL216C	EF058460	FLEXGene	True	True
YJL214W	EF059456	FLEXGene	True	True
YJL213W	DQ331181	FLEXGene	True	True
YJL212C	FLH238229.01X	FLEXGene	False	True
YJL210W	DQ332420	FLEXGene	True	True
YJL209W	FLH237975.01X	FLEXGene	False	True
YJL208C	DQ332910	FLEXGene	True	True
YJL207C		CCSB_additional	True	False
YJL206C	EF058507	FLEXGene	True	True
YJL205C		CCSB_additional	True	True
YJL204C	DQ331555	FLEXGene	True	True
YJL203W	AY558079	FLEXGene	True	True
YJL201W	AY692747	FLEXGene	True	True
YJL200C	DQ331198	FLEXGene	True	True
YJL199C		CCSB_additional	True	True
YJL198W	EF059416	FLEXGene	True	True
YJL197W	DQ332541	FLEXGene	True	True
YJL196C	DQ333132	FLEXGene	True	True
YJL194W	EF059183	FLEXGene	True	True
YJL193W	DQ331100	FLEXGene	False	True
YJL192C	AY693041	FLEXGene	True	True
YJL191W		CCSB_additional	True	False
YJL190C		CCSB_additional	True	True
YJL189W		CCSB_additional	True	True
YJL187C		CCSB_additional	True	False
YJL186W	DQ331958	FLEXGene	True	True
YJL185C	AY558308	FLEXGene	True	True
YJL184W	AY558252	FLEXGene	True	True
YJL183W	AY692909	FLEXGene	True	True
YJL181W	EF058542	FLEXGene	False	True
YJL180C		CCSB_additional	True	True
YJL179W	AY558253	FLEXGene	True	True
YJL178C	AY558251	FLEXGene	True	True
YJL177W		CCSB_additional	True	True
YJL176C	FLH238321.01X	FLEXGene	False	True
YJL174W	EF059481	FLEXGene	True	True
YJL173C	AY558541	FLEXGene	True	True
YJL172W	EF059455	FLEXGene	True	True
YJL171C		CCSB_additional	True	False
YJL170C	DQ332437	FLEXGene	True	True
YJL168C		CCSB_additional	True	True
YJL167W	DQ332458	FLEXGene	True	True
YJL166W	AY558554	FLEXGene	True	True
YJL165C	DQ332261	FLEXGene	True	True
YJL164C		CCSB_additional	True	False
YJL163C	EF058329	FLEXGene	True	True
YJL162C	DQ332722	FLEXGene	True	True
YJL161W	EF058322	FLEXGene	True	True
YJL160C	DQ332811	FLEXGene	True	True
YJL159W		CCSB_additional	True	False
YJL158C	AY693027	FLEXGene	False	True
YJL157C		CCSB_additional	True	True
YJL156C	DQ331951	FLEXGene	True	True
YJL155C	DQ331937	FLEXGene	True	True
YJL154C	EF059072	FLEXGene	True	True
YJL153C	EF059009	FLEXGene	True	True
YJL151C	AY692894	FLEXGene	True	True
YJL149W		CCSB_additional	True	True
YJL148W	DQ331805	FLEXGene	True	True
YJL147C	DQ331285	FLEXGene	True	True
YJL146W	EF058909	FLEXGene	False	True
YJL145W	AY558583	FLEXGene	True	True
YJL144W	AY557844	FLEXGene	True	True
YJL143W	AY557852	FLEXGene	True	True
YJL141C		CCSB_additional	True	True
YJL140W	AY557856	FLEXGene	False	True
YJL139C	EF059060	FLEXGene	True	True
YJL138C		CCSB_additional	True	True
YJL137C		CCSB_additional	True	True
YJL136W-A	DQ331431	FLEXGene	True	True
YJL136C		CCSB_additional	True	True
YJL134W		CCSB_additional	True	False
YJL133C-A		CCSB_additional	True	True
YJL133W	EF058939	FLEXGene	False	True
YJL132W	DQ331259	FLEXGene	True	True
YJL131C	EF058474	FLEXGene	True	True
YJL130C		CCSB_additional	False	False
YJL129C	EF059230	FLEXGene	False	True
YJL128C	EF059151	FLEXGene	True	True
YJL127C-B	EF058724	FLEXGene	True	True
YJL127C		CCSB_additional	True	True
YJL126W	DQ332035	FLEXGene	True	True
YJL125C		CCSB_additional	True	True
YJL124C	AY558307	FLEXGene	True	True
YJL123C	DQ331342	FLEXGene	True	True
YJL122W	DQ332798	FLEXGene	True	True
YJL121C	AY557858	FLEXGene	True	True
YJL118W	DQ331277	FLEXGene	True	True
YJL117W	AY557877	FLEXGene	True	True
YJL116C	AY557880	FLEXGene	True	True
YJL115W	AY557874	FLEXGene	True	True
YJL112W	DQ332570	FLEXGene	True	True
YJL111W	EF059412	FLEXGene	False	True
YJL110C	DQ333139	FLEXGene	True	True
YJL109C		CCSB_additional	False	False
YJL108C	AY557884	FLEXGene	True	True
YJL107C	AY557885	FLEXGene	False	True
YJL106W	EF059335	FLEXGene	True	True
YJL105W	EF059326	FLEXGene	False	True
YJL104W	AY692607	FLEXGene	True	True
YJL103C	AY723834	FLEXGene	True	True
YJL102W	EF059204	FLEXGene	True	True
YJL101C	DQ332006	FLEXGene	True	True
YJL100W		CCSB_additional	True	True
YJL099W	FLH112668.01X	FLEXGene	True	True
YJL098W	EF059491	FLEXGene	False	True
YJL097W	AY557855	FLEXGene	True	True
YJL096W	AY558305	FLEXGene	True	True
YJL095W		CCSB_additional	False	True
YJL094C	DQ332438	FLEXGene	True	True
YJL093C	DQ332293	FLEXGene	True	True
YJL092W	DQ332279	FLEXGene	False	True
YJL091C	EF059255	FLEXGene	True	True
YJL090C		CCSB_additional	False	True
YJL089W	EF059290	FLEXGene	True	True
YJL088W	EF059276	FLEXGene	False	True
YJL087C	EF059263	FLEXGene	True	True
YJL085W	AY723833	FLEXGene	True	True
YJL084C	DQ332071	FLEXGene	True	True
YJL083W		CCSB_additional	True	True
YJL082W	DQ331941	FLEXGene	True	True
YJL081C	EF059071	FLEXGene	False	True
YJL080C	DQ331827	FLEXGene	True	True
YJL079C	AY558306	FLEXGene	True	True
YJL078C	DQ331841	FLEXGene	True	True
YJL077W-B	EF058733	FLEXGene	True	True
YJL077W-A		CCSB_additional	True	True
YJL077C	AY692701	FLEXGene	True	True
YJL076W	DQ331818	FLEXGene	True	True
YJL074C	EF058914	FLEXGene	True	True
YJL073W		CCSB_additional	True	False
YJL072C	AY558248	FLEXGene	True	True
YJL071W		CCSB_additional	False	True
YJL070C	AY692645	FLEXGene	False	True
YJL069C	AY692560	FLEXGene	True	True
YJL068C	DQ332716	FLEXGene	True	True
YJL066C	DQ332968	FLEXGene	True	True
YJL065C	AY558557	FLEXGene	True	True
YJL063C	AY558249	FLEXGene	True	True
YJL062W-A	EF058499	FLEXGene	True	True
YJL062W		CCSB_additional	False	True
YJL061W	EF058951	FLEXGene	True	True
YJL060W	DQ332905	FLEXGene	True	True
YJL059W	AY693139	FLEXGene	True	True
YJL058C	AY693068	FLEXGene	False	True
YJL057C	EF058358	FLEXGene	True	True
YJL056C	DQ332194	FLEXGene	False	True
YJL055W	AY558247	FLEXGene	True	True
YJL054W		CCSB_additional	True	True
YJL053W	AY693007	FLEXGene	True	True
YJL052C-A	EF058498	FLEXGene	True	True
YJL052W	AY693001	FLEXGene	False	True
YJL051W	DQ331349	FLEXGene	True	True
YJL050W	DQ331890	FLEXGene	True	True
YJL049W	AY692694	FLEXGene	False	True
YJL048C	AY692689	FLEXGene	True	True
YJL047C-A	EF058749	FLEXGene	True	True
YJL047C	EF058978	FLEXGene	True	True
YJL046W	AY558080	FLEXGene	True	True
YJL045W	EF058524	FLEXGene	True	True
YJL044C	DQ331626	FLEXGene	True	True
YJL043W	AY692664	FLEXGene	False	True
YJL042W	DQ331471	FLEXGene	True	True
YJL041W		CCSB_additional	False	True
YJL039C	DQ331525	FLEXGene	False	True
YJL038C	AY558245	FLEXGene	True	True
YJL037W	AY558244	FLEXGene	True	True
YJL036W	AY693177	FLEXGene	True	True
YJL035C	AY693172	FLEXGene	False	True
YJL034W	EF059410	FLEXGene	True	True
YJL033W	AY693118	FLEXGene	False	True
YJL031C	EF059218	FLEXGene	False	True
YJL030W	AY558243	FLEXGene	True	True
YJL029C	FLH238245.01X	FLEXGene	True	True
YJL028W	DQ333181	FLEXGene	True	True
YJL027C	AY558246	FLEXGene	True	True
YJL026W	EF059129	FLEXGene	True	True
YJL025W	AY692999	FLEXGene	False	True
YJL024C		CCSB_additional	True	True
YJL023C	DQ331874	FLEXGene	True	True
YJL020C	DQ331751	FLEXGene	True	True
YJL019W		CCSB_additional	True	True
YJL016W	AY692698	FLEXGene	True	True
YJL014W		CCSB_additional	True	True
YJL013C	EF058877	FLEXGene	False	True
YJL012C	EF058869	FLEXGene	True	True
YJL011C	AY558346	FLEXGene	True	True
YJL010C	EF058444	FLEXGene	True	True
YJL008C	DQ331497	FLEXGene	True	True
YJL007C	AY558242	FLEXGene	True	True
YJL006C	EF058819	FLEXGene	True	True
YJL005W		CCSB_additional	False	False
YJL004C	AY558345	FLEXGene	True	True
YJL003W	AY558241	FLEXGene	True	True
YJL002C	EF059309	FLEXGene	True	True
YJL001W		CCSB_additional	False	True
YJR001W	DQ332322	FLEXGene	True	True
YJR002W	DQ332354	FLEXGene	True	True
YJR003C	DQ331116	FLEXGene	False	True
YJR004C	DQ332520	FLEXGene	True	True
YJR005W		CCSB_additional	True	True
YJR005C-A	DQ331420	FLEXGene	True	True
YJR006W	DQ331447	FLEXGene	True	True
YJR007W	AY557876	FLEXGene	True	True
YJR008W	DQ332761	FLEXGene	True	True
YJR009C		CCSB_additional	False	True
YJR010W	AY723835	FLEXGene	True	True
YJR010C-A	AY557861	FLEXGene	True	True
YJR011C	AY557905	FLEXGene	True	True
YJR013W	AY557910	FLEXGene	True	True
YJR012C	AY557900	FLEXGene	True	True
YJR014W	AY557898	FLEXGene	True	True
YJR015W	AY723836	FLEXGene	True	True
YJR016C	DQ332314	FLEXGene	False	True
YJR017C	DQ332451	FLEXGene	True	True
YJR019C	DQ332505	FLEXGene	False	True
YJR021C		CCSB_additional	False	True
YJR022W	EF059133	FLEXGene	False	True
YJR024C	AY692565	FLEXGene	True	True
YJR025C	AY558309	FLEXGene	True	True
YJR030C	DQ331056	FLEXGene	True	True
