orf_name_a	gene_name_a	orf_name_b	gene_name_b	Uetz-screen	Ito-core	CCSB-YI1	YeRI
Q0085	ATP6	YCR106W	RDS1	False	False	True	False
R0020C	REP1	YGR048W	UFD1	False	False	False	True
YAL005C	SSA1	YBR101C	FES1	False	False	True	False
YAL008W	FUN14	YGL029W	CGR1	False	False	False	True
YAL012W	CYS3	YAL012W	CYS3	False	False	True	False
YAL016W	TPD3	YGR161C	RTS3	False	False	False	True
YAL016W	TPD3	YIL065C	FIS1	False	False	True	False
YAL016W	TPD3	YNL127W	FAR11	True	False	True	False
YAL020C	ATS1	YBL071W-A	KTI11	False	False	True	True
YAL021C	CCR4	YJL112W	MDV1	False	False	True	False
YAL021C	CCR4	YMR124W	EPO1	False	False	True	False
YAL021C	CCR4	YMR181C		False	False	True	False
YAL021C	CCR4	YNR052C	POP2	False	False	True	False
YAL024C	LTE1	YHR158C	KEL1	False	False	True	False
YAL027W	SAW1	YPL022W	RAD1	False	False	True	False
YAL028W	FRT2	YDL239C	ADY3	False	True	False	False
YAL032C	PRP45	YDR416W	SYF1	False	False	True	False
YAL032C	PRP45	YDR448W	ADA2	False	False	True	False
YAL032C	PRP45	YDR532C	KRE28	False	False	True	False
YAL032C	PRP45	YJL112W	MDV1	False	False	True	False
YAL032C	PRP45	YLR345W		True	False	True	False
YAL032C	PRP45	YLR423C	ATG17	False	False	True	False
YAL032C	PRP45	YNL229C	URE2	False	False	True	False
YAL032C	PRP45	YPL151C	PRP46	True	True	True	False
YAL034W-A	MTW1	YGL172W	NUP49	True	False	False	False
YAL034W-A	MTW1	YGR120C	COG2	True	False	False	False
YAL034W-A	MTW1	YJL036W	SNX4	False	False	False	True
YAL034W-A	MTW1	YJR112W	NNF1	False	False	True	True
YAL034W-A	MTW1	YKL103C	APE1	True	False	False	False
YAL034W-A	MTW1	YLR052W	IES3	False	False	False	True
YAL036C	RBG1	YBR270C	BIT2	False	False	False	True
YAL036C	RBG1	YDR022C	ATG31	False	False	False	True
YAL036C	RBG1	YDR152W	GIR2	True	False	True	False
YAL036C	RBG1	YDR448W	ADA2	False	False	True	False
