ad_orf_name	db_orf_name	in_screen_1	in_screen_2	in_screen_3	manual_score_growth
YKR007W	YCR075W-A	0	0	1	4
YDL049C	YDL226C	1	1	1	4
YDR477W	YGL208W	1	1	1	4
YLR183C	YGL019W	1	0	1	2
YLR183C	YNL193W	1	0	1	2
YGR153W	YML088W	0	0	1	1
YNL062C	YJL125C	1	0	1	4
YGR078C	YML094W	1	0	1	4
YLR297W	YJR051W	0	0	1	2
YIL148W	YMR276W	0	0	1	4
YLR162W	YER083C	0	0	1	4
YEL013W	YGL068W	0	0	1	4
YJR128W	YPL070W	1	0	1	4
YBR298C-A	YCR020C-A	0	0	1	2
YNL036W	YIL057C	1	1	1	4
YKR019C	YPL070W	0	0	1	4
YPR128C	YKR057W	1	1	1	4
YGR168C	YJL136C	1	0	1	2
YPR128C	YJL136C	1	1	1	4
YGR168C	YKR057W	1	0	1	3
YGR168C	YJL205C	1	0	1	3
YPR174C	YPR170W-B	0	1	1	3
YJL036W	YDR425W	0	0	1	4
YBR273C	YMR276W	1	1	1	3
YJR015W	YPR170W-B	0	0	1	1
YPR174C	YPL218W	1	0	1	4
YCR086W	YDR439W	1	0	1	3
YOR008C-A	YML088W	0	0	1	2
YDR449C	YLR146W-A	1	1	1	4
YER134C	YML088W	0	0	1	2
YNL122C	YML088W	0	0	1	1
YHR141C	YML088W	0	0	1	2
YGR048W	YDR014W-A	1	0	1	2
YOR061W	YGL019W	0	0	1	3
YNL125C	YCL005W-A	0	0	1	1
YLL027W	YGL019W	0	1	1	3
YGL211W	YLR291C	0	0	1	3
YGL211W	YIL008W	0	1	1	3
YIR024C	YDL160C-A	1	0	1	2
YLR264W	YLR291C	0	0	1	3
YGL211W	YNL153C	0	0	1	1
YCR054C	YGR181W	1	0	1	4
YIL148W	YEL037C	1	1	1	4
YIL148W	YER143W	1	1	1	4
YIL148W	YPL096W	1	1	1	4
YMR276W	YPL096W	1	1	1	4
YDR381W	YDL084W	1	1	1	1
YBR002C	YML064C	0	0	1	3
YML024W	YJL136C	0	0	1	4
YML024W	YKR057W	0	0	1	4
YLR288C	YDR447C	1	0	1	2
YML024W	YLR048W	0	0	1	4
YHR170W	YDR132C	1	1	1	4
YPL068C	YPL128C	1	1	1	4
YLR175W	YHR089C	1	1	1	4
YLR175W	YNL124W	1	1	1	4
YHR170W	YPL070W	1	0	1	4
YLR175W	YDL208W	1	1	1	4
YHR173C	YMR214W	1	1	0	4
YDL242W	YJL036W	0	1	1	4
YOR269W	YPR040W	0	1	1	3
YHR106W	YDL125C	0	1	1	3
YNR039C	YGL194C-A	1	1	0	1
YDR075W	YPR040W	0	1	1	3
YGL001C	YOL073C	1	1	1	3
YDR240C	YLR048W	0	1	1	4
YDL049C	YNL204C	1	1	1	4
YER025W	YJR007W	1	1	0	4
YKR007W	YBR077C	0	1	1	4
YDL049C	YPL070W	0	1	0	4
YHR213W-B	YER083C	0	1	0	4
YGR002C	YNL107W	0	1	0	4
YLR288C	YML024W	0	1	0	2
YMR276W	YMR276W	0	1	0	4
YML094W	YLR200W	0	1	0	4
YCL031C	YPR040W	0	1	0	3
YOL044W	YPL218W	1	1	0	3
YPR174C	YBR126W-A	1	1	0	3
YBL026W	YLR438C-A	0	1	0	4
YEL009C-A	YCR095W-A	0	1	0	2
YPR006C	YPR006C	1	1	0	2
YDL097C	YDL242W	1	1	0	4
YGR158C	YBL026W	0	1	1	3
YGR168C	YBR255C-A	0	1	0	1
YDL232W	YER083C	0	1	0	4
YDR375C	YPR028W	0	1	1	4
YDR184C	YDR439W	1	1	0	2
YNL214W	YJL136C	1	1	1	3
YGR235C	YJL136C	1	1	0	1
YDL098C	YGR075C	1	1	1	4
YER003C	YGL017W	0	1	0	3
YMR276W	YNL328C	0	1	0	4
YDL098C	YPL135W	0	1	1	3
YIL148W	YML097C	1	1	1	4
YKL099C	YER016W	1	1	1	2
YDL125C	YDL125C	1	1	1	4
YPL194W	YOR368W	0	1	0	3
YMR032W	YOL128C	1	1	0	4
YJR128W	YGR142W	1	1	1	4
YLR239C	YKL192C	0	1	0	3
YML094W	YML064C	0	1	0	4
YLL018C-A	YML051W	0	1	0	3
YBR212W	YML088W	0	1	0	1
YEL009C-A	YDR142C	0	1	0	3
YLR175W	YHR072W-A	1	1	0	4
YJL136C	YML024W	0	1	0	2
YKR057W	YML024W	0	1	0	1
YGR117C	YBR127C	0	1	0	1
YJR128W	YDL188C	0	1	1	4
YER146W	YLR438C-A	0	1	0	4
YNL100W	YBR255C-A	0	1	0	2
YNL078W	YFL039C	0	1	0	1
YGR042W	YDR014W-A	1	1	1	1
YJL035C	YLR316C	1	1	1	4
YIL009C-A	YPL024W	0	1	0	4
YJR014W	YER007C-A	1	1	0	4
YLR119W	YPL222W	1	1	1	4
YFL060C	YMR096W	1	1	0	3
YPR010C-A	YDR373W	1	1	0	4
YDL242W	YDL097C	0	1	0	3
YPL178W	YLR048W	0	1	0	2
YPR174C	YGL194C-A	1	1	0	4
YBR217W	YNR007C	1	1	1	4
YBR141C	YLR061W	0	1	0	1
YPL173W	YGL019W	0	1	0	2
YKR019C	YML064C	1	1	0	4
YNL036W	YOR157C	0	1	0	4
YBL057C	YMR276W	0	1	0	3
YJL125C	YNL062C	1	1	1	4
YIL148W	YNL116W	1	1	1	4
YMR153W	YGL194C-A	1	1	1	4
YOL147C	YJL136C	0	1	0	3
YDR288W	YDL105W	1	1	0	4
YNL100W	YJL205C	0	1	0	1
YNL100W	YBR230C	0	1	0	1
YER170W	YLR048W	0	1	0	4
YKL075C	YDR194C	0	1	0	1
YOR097C	YNL044W	1	1	0	3
YDR281C	YNL044W	1	1	0	3
YJL004C	YNL044W	0	1	0	2
YHR005C	YDR424C	1	1	0	1
YNL125C	YPR170W-B	1	1	0	1
YNL125C	YNL146W	1	1	0	1
YDR422C	YDR516C	0	1	1	3
YEL009C-A	YGR183C	0	1	0	3
YEL009C-A	YJL205C	0	1	0	2
YDL242W	YDL226C	0	1	1	4
YHR170W	YML051W	0	1	1	4
YCL051W	YML064C	0	1	1	3
YDL242W	YPL065W	0	1	0	4
YCL051W	YML051W	0	1	0	4
YLR264W	YER112W	0	1	0	4
YGL041C-B	YGL263W	1	1	0	4
YBR268W	YNL185C	1	1	1	3
YGR018C	YML051W	0	1	0	3
YPL222W	YDL226C	1	1	0	4
YER038W-A	YDL226C	0	1	0	4
YDL130W-A	YML064C	0	1	0	4
YHR115C	YLR215C	1	1	1	3
YAL064W-B	YNR062C	1	1	1	3
YGR158C	YLR345W	0	0	1	3
YIR017C	YLR315W	0	0	1	3
YOL044W	YDR367W	1	1	0	2
YBR060C	YEL056W	0	1	1	2
YPR113W	YDL226C	0	1	1	4
YKL029C	YHR109W	1	1	1	4
YLR119W	YPL065W	0	0	1	4
YIR017C	YOL069W	0	1	1	4
YIR017C	YNL189W	0	1	1	3
YJR015W	YPR192W	0	1	1	2
YGR173W	YDR152W	0	0	1	4
YBL010C	YML064C	0	0	1	2
YGL215W	YPL031C	0	0	1	3
YCR020C-A	YEL053C	1	1	1	4
YBR060C	YLR368W	1	0	1	2
YBR182C	YLR368W	0	1	1	3
YDR311W	YML064C	1	1	1	3
YIR017C	YML064C	0	0	1	3
YDR311W	YER134C	0	0	1	4
YDL097C	YLR315W	0	0	1	4
YLR433C	YER094C	0	1	1	3
YLR433C	YKL159C	0	0	1	4
YML130C	YKL184W	1	1	1	4
YMR018W	YNL117W	0	0	1	4
YDL154W	YGR013W	1	0	1	4
YDL214C	YER094C	0	0	1	3
YMR213W	YGR142W	0	0	1	2
YIL062C	YML095C	0	1	1	3
YIL103W	YML095C	0	0	1	3
YJL031C	YJR046W	0	0	1	4
YML130C	YPL135W	0	1	1	4
YDR062W	YBR058C-A	0	0	1	2
YGL158W	YDL113C	0	1	1	2
YER116C	YGR024C	0	1	1	3
YNR039C	YJL117W	0	1	1	2
YPR159W	YMR298W	0	1	1	1
YNR046W	YDR140W	0	0	1	3
YHR169W	YLR052W	0	1	1	3
YMR315W	YGR205W	0	1	1	1
YKR037C	YGL061C	0	1	1	4
YNL086W	YEL005C	0	1	1	4
YGL079W	YGR113W	0	0	1	4
YKR037C	YGR113W	1	0	1	4
YJL065C	YNR029C	0	0	1	3
YNL086W	YDR388W	0	1	1	4
YPR072W	YOR226C	1	1	1	4
YPL065W	YMR077C	0	1	1	2
YDR240C	YPR178W	0	0	1	3
YDL076C	YMR168C	0	0	1	2
YNL125C	YCR068W	0	0	1	1
YML003W	YER094C	0	0	1	4
YHL006C	YJR141W	0	0	1	2
YLL029W	YOR368W	0	1	1	2
YNL100W	YDR142C	1	0	1	2
YNL147W	YOR159C	0	0	1	4
YOR158W	YDR328C	0	0	1	3
YMR135C	YDR255C	0	0	1	3
YMR077C	YJR102C	0	1	1	4
YDR308C	YHR148W	1	0	1	4
YNL100W	YPL112C	1	0	1	2
YNL100W	YJL185C	1	0	1	1
YLR243W	YMR158W	0	0	1	1
YDR281C	YNL204C	0	0	1	2
YJR136C	YPR118W	1	0	1	3
YMR153W	YMR153W	0	0	1	4
YKL019W	YGL155W	0	0	1	2
YMR153W	YNL111C	1	0	1	4
YDR088C	YGR074W	0	0	1	1
YDR308C	YPL077C	0	0	1	2
YMR068W	YIL105C	0	0	1	2
YPL077C	YLR313C	0	0	1	2
YOR158W	YJR002W	0	0	1	2
YBR125C	YCL033C	1	1	1	3
YDR323C	YOR368W	0	0	1	1
YFL017W-A	YER146W	0	0	1	3
YOR158W	YNL153C	0	1	1	2
YNL100W	YNL131W	0	0	1	1
YMR153W	YML031W	0	0	1	4
YNL100W	YCL057C-A	0	1	1	2
YDR142C	YMR267W	0	1	1	4
YMR042W	YMR043W	1	1	1	4
YIR022W	YML055W	0	0	1	4
YOR060C	YML064C	0	1	1	3
YGR235C	YML064C	1	0	1	3
YER074W-A	YNL024C-A	1	1	1	4
YLR203C	YPL065W	0	0	1	1
YML030W	YDL226C	0	1	1	2
YGR235C	YDL226C	0	0	1	2
YPL173W	YDR247W	0	0	1	2
YOR279C	YNL189W	0	0	1	3
YPL173W	YLR368W	0	0	1	2
YLR183C	YOR061W	1	1	1	2
YBR130C	YHR107C	0	0	1	1
YCR094W	YBL082C	1	1	1	4
YHR067W	YML064C	0	0	1	3
YEL018W	YNL136W	1	0	1	4
YGR235C	YML051W	0	1	1	3
YGR146C	YML051W	0	1	1	4
YML112W	YML051W	0	0	1	2
YGR028W	YNL189W	0	0	1	4
YGR146C	YDR165W	0	1	1	4
YJR052W	YMR201C	0	1	1	3
YDR016C	YJR135C	0	1	1	2
YOL111C	YOL111C	0	0	1	4
YBL043W	YOR304C-A	0	0	1	4
YIL103W	YPL070W	0	0	1	3
YHR008C	YPL070W	0	0	1	4
YDL147W	YDR179C	1	0	1	4
YML130C	YIL065C	1	1	1	4
YMR026C	YIL065C	0	0	1	4
YNL165W	YMR018W	0	0	1	2
YPL188W	YGR078C	1	1	1	3
YIR015W	YPL070W	0	0	1	3
YLR288C	YDR249C	0	1	1	3
YMR213W	YOL054W	1	0	1	2
YJL140W	YNL116W	0	0	1	2
YML130C	YJR080C	0	0	1	2
YML015C	YML098W	0	0	1	1
YHR193C	YCR059C	0	0	1	2
YHR121W	YGR178C	0	0	1	3
YLR288C	YPR018W	0	0	1	2
YLR240W	YLR240W	0	1	1	3
YPL188W	YLR132C	0	1	1	4
YNL086W	YJL036W	0	1	1	4
YMR232W	YMR055C	0	1	1	2
YNL086W	YPR083W	0	1	1	3
YKL122C	YDL092W	1	1	1	4
YDL083C	YLR449W	0	1	1	4
YLL004W	YBR060C	0	1	1	4
YGR195W	YDL111C	0	0	1	2
YMR291W	YGL115W	0	1	1	3
YNL086W	YHR090C	0	0	1	3
YPL031C	YIL050W	0	0	1	4
YLR275W	YOR159C	0	0	1	2
YDR175C	YDR280W	0	0	1	2
YOR061W	YLR407W	0	1	1	3
YPL166W	YPL077C	1	1	1	4
YDR175C	YGR215W	0	0	1	2
YOR061W	YIL035C	0	1	1	3
YOR061W	YOR039W	0	1	1	3
YDR130C	YER094C	0	0	1	1
YGR048W	YOR368W	0	0	1	3
YLR275W	YER146W	0	0	1	3
YLR038C	YLR291C	0	0	1	4
YPL018W	YNL075W	0	0	1	3
YDL175C	YLR291C	0	1	1	3
