orf_name_X	orf_name_Y	gene_name_X	gene_name_Y	orientation	source_dataset	S07	r02 v1	r02 v4	seq_r02_v1	seq_r02_v4	seq_S07
YMR061W	YGL044C	RNA14	RNA15	DB-X AD-Y	scPRSv2	1	1	1	confirmed	confirmed	confirmed
YMR061W	YGL044C	RNA14	RNA15	DB-Y AD-X	scPRSv2	1	1	1	failed	confirmed	confirmed
YDR228C	YGL044C	PCF11	RNA15	DB-X AD-Y	scPRSv2	AA	1	1	confirmed	confirmed	
YDR228C	YGL044C	PCF11	RNA15	DB-Y AD-X	scPRSv2	1	0	1	confirmed	confirmed	confirmed
YDR228C	YMR061W	PCF11	RNA14	DB-X AD-Y	scPRSv2	AA	1	1	confirmed	confirmed	
YDR228C	YMR061W	PCF11	RNA14	DB-Y AD-X	scPRSv2	1	0	NAN		failed	failed
YMR146C	YOR361C	TIF34	PRT1	DB-X AD-Y	scPRSv2	1	0	1	confirmed	failed	failed
YMR146C	YOR361C	TIF34	PRT1	DB-Y AD-X	scPRSv2	1	0	0		confirmed	confirmed
YFL009W	YDL132W	CDC4	CDC53	DB-X AD-Y	scPRSv2	0	0	0		confirmed	confirmed
YFL009W	YDL132W	CDC4	CDC53	DB-Y AD-X	scPRSv2	0	1	0		confirmed	
YOR194C	YKL058W	TOA1	TOA2	DB-X AD-Y	scPRSv2	1	AA	1	confirmed	confirmed	confirmed
YOR194C	YKL058W	TOA1	TOA2	DB-Y AD-X	scPRSv2	1	1	1	confirmed	confirmed	confirmed
YJR068W	YBR087W	RFC2	RFC5	DB-X AD-Y	scPRSv2	0	0	AA		confirmed	confirmed
YJR068W	YBR087W	RFC2	RFC5	DB-Y AD-X	scPRSv2	1	0	1		confirmed	confirmed
YDR388W	YMR192W	RVS167	GYL1	DB-X AD-Y	scPRSv2	1	0	1	confirmed	confirmed	confirmed
YDR388W	YMR192W	RVS167	GYL1	DB-Y AD-X	scPRSv2	0	1	0	failed		
YOL069W	YIL144W	NUF2	NDC80	DB-X AD-Y	scPRSv2	1	0	1		confirmed	confirmed
YOL069W	YIL144W	NUF2	NDC80	DB-Y AD-X	scPRSv2	0	0	0	failed	confirmed	confirmed
YKL074C	YLR116W	MUD2	MSL5	DB-X AD-Y	scPRSv2	AA	0	0			
YKL074C	YLR116W	MUD2	MSL5	DB-Y AD-X	scPRSv2	1	1	1	confirmed	confirmed	failed
YJR090C	YDL132W	GRR1	CDC53	DB-X AD-Y	scPRSv2	AA	0	0			
YJR090C	YDL132W	GRR1	CDC53	DB-Y AD-X	scPRSv2	1	1	1	failed	failed	confirmed
YPR025C	YDL108W	CCL1	KIN28	DB-X AD-Y	scPRSv2	AA	AA	AA	confirmed	confirmed	confirmed
YPR025C	YDL108W	CCL1	KIN28	DB-Y AD-X	scPRSv2	1	AA	1	confirmed	confirmed	confirmed
YOR026W	YGR188C	BUB3	BUB1	DB-X AD-Y	scPRSv2	1	AA	1	failed	failed	failed
YOR026W	YGR188C	BUB3	BUB1	DB-Y AD-X	scPRSv2	0	NAN	1		confirmed	confirmed
YDR429C	YMR146C	TIF35	TIF34	DB-X AD-Y	scPRSv2	AA	AA	AA	confirmed	confirmed	
YDR429C	YMR146C	TIF35	TIF34	DB-Y AD-X	scPRSv2	0	AA	1	confirmed	confirmed	failed
YDL043C	YJL203W	PRP11	PRP21	DB-X AD-Y	scPRSv2	1	0	AA		confirmed	confirmed
YDL043C	YJL203W	PRP11	PRP21	DB-Y AD-X	scPRSv2	1	0	1		confirmed	confirmed
