orf_name	screened_as_AD	screened_as_DB
ART2	True	True
Q0017	True	True
Q0080	True	True
Q0085	True	True
Q0130	True	True
Q0142	True	True
Q0143	True	False
Q0160	True	True
Q0182	True	False
Q0250	True	True
Q0275	False	True
YAL002W	False	True
YAL004W	True	False
YAL005C	True	True
YAL007C	True	True
YAL008W	True	True
YAL009W	True	True
YAL010C	True	False
YAL011W	True	True
YAL012W	True	True
YAL016W	True	True
YAL018C	True	True
YAL019W	True	False
YAL020C	True	True
YAL021C	True	True
YAL022C	True	True
YAL024C	False	True
YAL026C	True	False
YAL027W	True	True
YAL029C	True	False
YAL030W	True	True
YAL032C	True	True
YAL033W	True	True
YAL034C	True	False
YAL034W-A	True	True
YAL035C-A	False	True
YAL035W	False	True
YAL036C	True	True
YAL037W	True	True
YAL038C-A	True	False
YAL038W	True	False
YAL039C	True	True
YAL040C	True	False
YAL041W	True	False
YAL042W	True	True
YAL043C-A	True	True
YAL044W-A	False	True
YAL045C	True	True
YAL046C	True	True
YAL048C	True	True
YAL049C	True	False
YAL053W	True	True
YAL054C	True	True
YAL055W	True	True
YAL058C-A	True	True
YAL060W	True	True
YAL061W	True	True
YAL062W	True	True
YAL064C-A	True	True
YAL064W	True	False
YAL064W-B	True	True
YAL065C	True	True
YAL066W	True	True
YAL067C	True	True
YAL068C	False	True
YAL068W-A	True	True
YAL069W	False	True
YAR002C-A	True	False
YAR002W	True	True
YAR003W	True	False
YAR007C	True	False
YAR008W	True	True
YAR015W	True	True
YAR018C	True	True
YAR020C	True	True
YAR023C	True	False
YAR027W	True	True
YAR028W	True	True
YAR029W	True	True
YAR030C	True	True
YAR031W	True	True
YAR033W	True	True
YAR035C-A	True	True
YAR035W	True	False
YAR044W	False	True
YAR047C	True	False
YAR050W	True	False
YAR070C	True	True
YAR071W	True	True
YAR073W	True	True
YBL001C	True	True
YBL002W	True	True
YBL003C	True	True
YBL005W	True	False
YBL008W	True	False
YBL009W	True	False
YBL010C	True	True
YBL012C	True	True
YBL013W	True	True
YBL014C	True	False
YBL015W	True	True
YBL016W	True	False
YBL018C	True	False
YBL019W	False	True
YBL020W	True	True
YBL021C	True	False
YBL022C	False	True
YBL023C	True	False
YBL024W	True	False
YBL025W	True	True
YBL026W	False	True
YBL027W	True	True
YBL028C	True	True
YBL029C-A	True	True
YBL030C	True	True
YBL031W	True	False
YBL032W	True	True
YBL033C	True	True
YBL035C	True	False
YBL036C	True	True
YBL037W	True	True
YBL038W	True	True
YBL039C	True	False
YBL040C	True	False
YBL041W	True	False
YBL042C	True	True
YBL043W	True	True
YBL044W	True	True
YBL045C	False	True
YBL046W	True	False
YBL047C	False	True
YBL048W	True	True
YBL050W	True	False
YBL051C	True	False
YBL053W	True	True
YBL054W	True	True
YBL055C	True	True
YBL057C	True	True
YBL058W	True	False
YBL059C-A	True	True
YBL059W	True	True
YBL060W	True	True
YBL061C	True	True
YBL062W	True	False
YBL063W	True	True
YBL064C	True	True
YBL065W	True	True
YBL067C	False	True
YBL069W	True	True
YBL071C	True	True
YBL071C-B	True	True
YBL071W-A	True	False
YBL072C	True	True
YBL073W	True	False
YBL074C	True	False
YBL075C	True	True
YBL076C	True	True
YBL077W	True	True
YBL078C	True	True
YBL079W	True	False
YBL080C	True	True
YBL081W	True	False
YBL082C	True	False
YBL083C	True	True
YBL085W	False	True
YBL086C	True	True
YBL089W	True	False
YBL090W	True	True
YBL091C	True	False
YBL091C-A	True	True
YBL093C	True	False
YBL094C	True	True
YBL095W	False	True
YBL096C	True	True
YBL097W	True	False
YBL098W	True	True
YBL099W	True	True
YBL100C	True	True
YBL101C	False	True
YBL101W-C	True	True
YBL102W	True	True
YBL103C	True	False
YBL107C	True	True
YBL108W	True	True
YBL112C	True	True
YBR001C	True	True
YBR004C	True	True
YBR005W	True	True
YBR006W	True	True
YBR007C	True	True
YBR009C	True	True
YBR010W	True	True
YBR011C	True	True
YBR012C	True	False
YBR013C	True	False
YBR015C	True	False
YBR016W	True	True
YBR018C	True	True
YBR019C	True	True
YBR020W	True	False
YBR021W	True	True
YBR022W	True	True
YBR024W	True	True
YBR025C	True	True
YBR027C	True	True
YBR028C	True	True
YBR029C	True	True
YBR030W	True	False
YBR032W	True	True
YBR033W	True	True
YBR034C	True	True
YBR035C	True	False
YBR037C	True	True
YBR038W	True	True
YBR039W	True	True
YBR040W	True	True
YBR042C	True	True
YBR043C	True	True
YBR045C	True	False
YBR046C	True	True
YBR047W	True	True
YBR048W	True	False
YBR050C	True	False
YBR051W	True	False
YBR052C	True	True
YBR053C	True	True
YBR055C	True	False
YBR056W	True	True
YBR057C	True	True
YBR058C	True	False
YBR058C-A	True	True
YBR060C	True	True
YBR061C	True	False
YBR062C	True	False
YBR063C	True	True
YBR064W	True	True
YBR065C	True	True
YBR066C	True	True
YBR067C	True	True
YBR068C	True	True
YBR069C	True	True
YBR070C	True	False
YBR071W	True	False
YBR072W	True	True
YBR077C	True	True
YBR078W	True	True
YBR079C	True	True
YBR080C	True	True
YBR081C	True	False
YBR083W	True	False
YBR084C-A	True	True
YBR084W	True	True
YBR085C-A	True	False
YBR085W	True	True
YBR086C	True	True
YBR087W	True	True
YBR088C	True	True
YBR089C-A	True	True
YBR089W	True	True
YBR090C	True	True
YBR091C	True	False
YBR092C	True	True
YBR094W	True	True
YBR095C	True	True
YBR096W	True	True
YBR097W	False	True
YBR098W	True	False
YBR099C	True	True
YBR100W	True	True
YBR101C	True	True
YBR102C	True	True
YBR103C-A	True	False
YBR103W	True	False
YBR104W	True	False
YBR105C	True	True
YBR107C	True	True
YBR108W	True	False
YBR109C	True	True
YBR110W	True	False
YBR111C	True	True
YBR112C	True	False
YBR113W	True	True
YBR115C	False	True
YBR116C	True	True
YBR117C	True	True
YBR118W	True	True
YBR119W	True	False
YBR120C	True	True
YBR121C	True	True
YBR122C	True	True
YBR123C	True	True
YBR124W	True	True
YBR125C	True	False
YBR126C	True	True
YBR126W-A	True	True
YBR127C	True	True
YBR128C	True	True
YBR129C	True	True
YBR130C	True	False
YBR131C-A	True	False
YBR131W	True	True
YBR132C	True	False
YBR133C	True	False
YBR134W	True	True
YBR135W	True	False
YBR138C	True	False
YBR139W	True	True
YBR140C	True	False
YBR141C	True	True
YBR141W-A	True	True
YBR142W	True	False
YBR143C	True	False
YBR144C	True	True
YBR146W	True	True
YBR147W	True	True
YBR148W	True	True
YBR149W	True	True
YBR150C	True	True
YBR151W	True	True
YBR152W	True	True
