assay	experiment_ID	orf_name_a	orf_name_b	orf_name_f1	orf_name_f2	F1_CCSB_ORF_ID	F2_CCSB_ORF_ID	source_dataset	score	result_at_0_RRS
GPCA	Sv01	YGR074W	YOR194C	YGR074W	YOR194C	1006	1415	YeRI	13.88369335851507	False
GPCA	Sv01	YDL087C	YGR074W	YGR074W	YDL087C	1006	2984	CYC2008	9.599912842187129	False
GPCA	Sv01	YLR291C	YOR111W	YOR111W	YLR291C	1010	1901	CCSB-YI1		
GPCA	Sv01	YDL161W	YOR111W	YOR111W	YDL161W	1010	4578	Ito-core	14.331966594423612	False
GPCA	Sv01	YJR125C	YOR111W	YJR125C	YOR111W	5453	1010	Uetz-screen	13.812478169936147	False
GPCA	Sv01	YDR472W	YOL018C	YDR472W	YOL018C	4691	1013	GI_PSN_PCC_gt_0.3	9.661778097771988	False
GPCA	Sv01	YBR164C	YOL018C	YOL018C	YBR164C	1013	4789	PrePPI-LR600	9.573647187493323	False
GPCA	Sv01	YGR048W	YNL155W	YGR048W	YNL155W	1387	1016	YeRI	10.33427328530719	False
GPCA	Sv01	YAL068C	YBR066C	YBR066C	YAL068C	1470	1019	scRRS-v2	9.348728154231079	False
GPCA	Sv01	YDR313C	YPL133C	YDR313C	YPL133C	101	1670	Uetz-screen	8.948367231584678	False
GPCA	Sv01	YDR313C	YML035C	YML035C	YDR313C	2606	101	GI_PSN_PCC_gt_0.3	9.949826710759112	False
GPCA	Sv01	YDR313C	YNL142W	YNL142W	YDR313C	3258	101	GI_PSN_PCC_gt_0.3	10.667998535672528	False
GPCA	Sv01	YDR313C	YHR076W	YDR313C	YHR076W	101	4322	GI_PSN_PCC_gt_0.2	12.428883552010191	False
GPCA	Sv01	YDR313C	YJL098W	YJL098W	YDR313C	4449	101	GI_PSN_PCC_gt_0.3	9.638435913990472	False
GPCA	Sv01	YKL104C	YOR044W	YOR044W	YKL104C	1021	5036	scRRS-v2	10.379378367071263	False
GPCA	Sv01	YAL020C	YBL071C	YBL071C	YAL020C	1022	2857	GI_PSN_PCC_gt_0.2	10.279610581052486	False
GPCA	Sv01	YJL151C	YNL245C	YJL151C	YNL245C	1639	1023	GI_PSN_PCC_gt_0.2	8.73470962022584	False
GPCA	Sv01	YKL004W	YNR028W	YNR028W	YKL004W	1024	2179	Tarassov	12.067434360756522	False
GPCA	Sv01	YDR382W	YOL039W	YDR382W	YOL039W	4786	1025	CYC2008	13.165535141377925	False
GPCA	Sv01	YOL039W	YPL143W	YPL143W	YOL039W	5028	1025	CYC2008	8.611024797307353	False
GPCA	Sv01	YDR347W	YLL034C	YLL034C	YDR347W	4918	102	scRRS-v2	9.823367240046236	False
GPCA	Sv01	YNL131W	YOR045W	YNL131W	YOR045W	2783	1033	CYC2008	10.401946123976536	False
GPCA	Sv01	YLR368W	YNL204C	YLR368W	YNL204C	1767	1034	YeRI	10.715961990255146	False
GPCA	Sv01	YMR282C	YNL315C	YNL315C	YMR282C	1035	3883	GI_PSN_PCC_gt_0.2		
GPCA	Sv01	YBR175W	YKR081C	YKR081C	YBR175W	3893	1039	YeRI	9.451211111832329	False
GPCA	Sv01	YNL153C	YPL173W	YNL153C	YPL173W	1040	1682	YeRI	9.154818109052105	False
GPCA	Sv01	YNL153C	YOR349W	YNL153C	YOR349W	1040	2854	GI_PSN_PCC_gt_0.3	9.189824558880018	False
GPCA	Sv01	YNL153C	YOR158W	YNL153C	YOR158W	1040	3904	YeRI	9.319672120946995	False
GPCA	Sv01	YGL068W	YNL153C	YNL153C	YGL068W	1040	4077	YeRI	11.929258408636972	False
GPCA	Sv01	YBR282W	YNL153C	YBR282W	YNL153C	4554	1040	YeRI	9.4241662888181	False
GPCA	Sv01	YNR041C	YPR052C	YPR052C	YNR041C	1231	1048	GI_PSN_PCC_gt_0.2	11.427312844134963	False
GPCA	Sv01	YLR222C	YNR041C	YNR041C	YLR222C	1048	2831	Ito-core	10.984418458801139	False
GPCA	Sv01	YMR201C	YOR064C	YMR201C	YOR064C	3276	104	scRRS-v2	9.918863237274595	False
