orf_name_a	gene_name_a	orf_name_b	gene_name_b	n_publications	n_methods	n_evidence	category
Q0045	COX1	Q0085	ATP6	1	1	1	Lit-NB
Q0045	COX1	Q0105	COB	1	1	1	Lit-NB
Q0045	COX1	Q0140	VAR1	2	1	2	Lit-NB
Q0045	COX1	Q0250	COX2	4	2	4	Lit-NB
Q0045	COX1	Q0275	COX3	4	2	4	Lit-NB
Q0045	COX1	YBL045C	COR1	3	2	3	Lit-NB
Q0045	COX1	YBR255C-A	RCF3	1	1	1	Lit-NB
Q0045	COX1	YDR119W-A	COX26	1	1	1	Lit-NB
Q0045	COX1	YDR231C	COX20	1	1	1	Lit-NB
Q0045	COX1	YER154W	OXA1	1	1	1	Lit-NB
Q0045	COX1	YGL187C	COX4	3	1	3	Lit-NB
Q0045	COX1	YGL191W	COX13	1	1	1	Lit-NB
Q0045	COX1	YGR033C	TIM21	1	1	1	Lit-NB
Q0045	COX1	YGR112W	SHY1	3	2	3	Lit-NB
Q0045	COX1	YGR222W	PET54	1	1	1	Lit-NB
Q0045	COX1	YHR051W	COX6	2	1	2	Lit-NB
Q0045	COX1	YIL157C	COA1	3	2	3	Lit-NB
Q0045	COX1	YJL062W-A	COA3	4	1	4	Lit-NB
Q0045	COX1	YLR038C	COX12	1	1	1	Lit-NB
Q0045	COX1	YLR203C	MSS51	7	2	7	Lit-NB
Q0045	COX1	YLR395C	COX8	1	1	1	Lit-NB
Q0045	COX1	YML030W	RCF1	3	1	3	Lit-NB
Q0045	COX1	YML129C	COX14	4	2	4	Lit-NB
Q0045	COX1	YNR017W	TIM23	1	1	1	Lit-NB
Q0045	COX1	YNR018W	RCF2	3	1	3	Lit-NB
Q0045	COX1	YPL172C	COX10	1	1	1	Lit-NB
Q0045	COX1	YPR042C	PUF2	1	1	1	Lit-NB
Q0045	COX1	YPR191W	QCR2	1	1	1	Lit-NB
Q0050	AI1	YDL143W	CCT4	1	1	1	Lit-NB
Q0050	AI1	YDL229W	SSB1	1	1	1	Lit-NB
Q0050	AI1	YEL030W	ECM10	1	1	1	Lit-NB
Q0050	AI1	YGL122C	NAB2	1	1	1	Lit-NB
Q0050	AI1	YNL064C	YDJ1	1	1	1	Lit-NB
Q0050	AI1	YNL209W	SSB2	1	1	1	Lit-NB
Q0050	AI1	YNL227C	JJJ1	1	1	1	Lit-NB
Q0055	AI2	YDL229W	SSB1	1	1	1	Lit-NB
Q0055	AI2	YGL187C	COX4	1	1	1	Lit-NB
Q0055	AI2	YLL026W	HSP104	1	1	1	Lit-NB
Q0055	AI2	YLR320W	MMS22	1	1	1	Lit-NB
Q0060	AI3	YDL229W	SSB1	1	1	1	Lit-NB
Q0060	AI3	YGL187C	COX4	1	1	1	Lit-NB
Q0060	AI3	YLR090W	XDJ1	1	1	1	Lit-NB
Q0060	AI3	YPL106C	SSE1	1	1	1	Lit-NB
Q0065	AI4	YAL005C	SSA1	1	1	1	Lit-NB
Q0065	AI4	YGL187C	COX4	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YAL005C	SSA1	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YBL075C	SSA3	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YDL229W	SSB1	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YDR320C	SWA2	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YGL187C	COX4	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YJL179W	PFD1	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YMR186W	HSC82	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YNL064C	YDJ1	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YNL153C	GIM3	1	1	1	Lit-NB
Q0070	AI5_ALPHA	YPL240C	HSP82	1	1	1	Lit-NB
Q0075	AI5_BETA	YGL122C	NAB2	1	1	1	Lit-NB
Q0075	AI5_BETA	YPL240C	HSP82	1	1	1	Lit-NB
Q0080	ATP8	Q0085	ATP6	2	1	2	Lit-NB
Q0080	ATP8	YBL099W	ATP1	2	2	2	Lit-NB
Q0080	ATP8	YDR377W	ATP17	1	1	1	Lit-NB
Q0080	ATP8	YJR121W	ATP2	3	2	3	Lit-NB
Q0080	ATP8	YKL016C	ATP7	2	1	2	Lit-NB
Q0080	ATP8	YLR203C	MSS51	1	1	1	Lit-NB
Q0080	ATP8	YLR393W	ATP10	1	1	1	Lit-NB
Q0080	ATP8	YNR019W	ARE2	1	1	1	Lit-BS
Q0080	ATP8	YPL078C	ATP4	3	1	3	Lit-NB
Q0080	ATP8	YPR042C	PUF2	1	1	1	Lit-NB
Q0085	ATP6	Q0130	OLI1	1	1	1	Lit-NB
Q0085	ATP6	Q0275	COX3	1	1	1	Lit-NB
Q0085	ATP6	YBL099W	ATP1	4	2	4	Lit-NB
Q0085	ATP6	YBR039W	ATP3	1	1	1	Lit-NB
Q0085	ATP6	YDL004W	ATP16	1	1	1	Lit-NB
Q0085	ATP6	YDR298C	ATP5	1	1	1	Lit-BS
Q0085	ATP6	YDR377W	ATP17	1	1	1	Lit-BS
Q0085	ATP6	YER154W	OXA1	2	1	2	Lit-NB
Q0085	ATP6	YJR121W	ATP2	6	3	6	Lit-NB
Q0085	ATP6	YKL016C	ATP7	2	2	2	Lit-BM
Q0085	ATP6	YLR203C	MSS51	1	1	1	Lit-NB
Q0085	ATP6	YLR295C	ATP14	1	1	1	Lit-NB
Q0085	ATP6	YLR393W	ATP10	2	1	2	Lit-NB
Q0085	ATP6	YML081C-A	ATP18	2	2	2	Lit-BM
Q0085	ATP6	YML129C	COX14	1	1	1	Lit-NB
Q0085	ATP6	YPL078C	ATP4	3	2	3	Lit-BM
Q0085	ATP6	YPL271W	ATP15	1	1	1	Lit-NB
Q0105	COB	Q0250	COX2	1	1	1	Lit-NB
Q0105	COB	YBL030C	PET9	1	1	1	Lit-NB
Q0105	COB	YBL045C	COR1	2	1	2	Lit-NB
Q0105	COB	YDR231C	COX20	1	1	1	Lit-NB
Q0105	COB	YDR375C	BCS1	1	1	1	Lit-NB
Q0105	COB	YDR529C	QCR7	1	1	1	Lit-NB
Q0105	COB	YEL024W	RIP1	1	1	1	Lit-NB
Q0105	COB	YER154W	OXA1	1	1	1	Lit-NB
Q0105	COB	YGL187C	COX4	1	1	1	Lit-NB
Q0105	COB	YGR112W	SHY1	1	1	1	Lit-NB
Q0105	COB	YGR174C	CBP4	1	1	1	Lit-NB
Q0105	COB	YJL166W	QCR8	1	1	1	Lit-NB
Q0105	COB	YLR203C	MSS51	2	1	2	Lit-NB
Q0105	COB	YML030W	RCF1	1	1	1	Lit-NB
Q0105	COB	YML129C	COX14	1	1	1	Lit-NB
Q0105	COB	YOR065W	CYT1	2	2	2	Lit-BM
Q0105	COB	YPL215W	CBP3	1	1	1	Lit-NB
Q0105	COB	YPR042C	PUF2	1	1	1	Lit-NB
Q0105	COB	YPR191W	QCR2	3	2	3	Lit-NB
Q0110	BI2	YDL229W	SSB1	1	1	1	Lit-NB
Q0110	BI2	YGL187C	COX4	1	1	1	Lit-NB
Q0110	BI2	YPL240C	HSP82	1	1	1	Lit-NB
Q0110	BI2	YPR042C	PUF2	1	1	1	Lit-NB
Q0115	BI3	YGL122C	NAB2	1	1	1	Lit-NB
Q0115	BI3	YGL187C	COX4	1	1	1	Lit-NB
Q0120	BI4	YGL122C	NAB2	1	1	1	Lit-NB
Q0120	BI4	YGL187C	COX4	1	1	1	Lit-NB
Q0120	BI4	YGR112W	SHY1	1	1	1	Lit-NB
Q0120	BI4	YLR382C	NAM2	3	1	3	Lit-BM
Q0130	OLI1	Q0130	OLI1	2	2	2	Lit-BM
Q0130	OLI1	YBL099W	ATP1	3	2	3	Lit-NB
Q0130	OLI1	YER154W	OXA1	1	1	1	Lit-NB
Q0130	OLI1	YHR051W	COX6	1	1	1	Lit-NB
Q0130	OLI1	YJR045C	SSC1	1	1	1	Lit-NB
Q0130	OLI1	YJR121W	ATP2	1	1	1	Lit-NB
Q0130	OLI1	YKL016C	ATP7	1	1	1	Lit-NB
