orf_name_a	gene_name_a	orf_name_b	gene_name_b	in_I3D-exp-24	in_Lit-BM-24	in_Y2H-union-08
YFL026W	STE2	YFL026W	STE2	True	True	False
YFL026W	STE2	YPL187W	MF(ALPHA)1	True	False	False
YFL026W	STE2	YHR005C	GPA1	True	True	False
YPL228W	CET1	YPL228W	CET1	True	True	False
YGL130W	CEG1	YPL228W	CET1	True	True	True
YOR298C-A	MBF1	YPL081W	RPS9A	True	False	False
YOR361C	PRT1	YPL081W	RPS9A	True	False	False
YOR361C	PRT1	YOR361C	PRT1	True	True	False
YJL190C	RPS22A	YPL081W	RPS9A	True	False	False
YDR064W	RPS13	YJL190C	RPS22A	True	False	False
YJL190C	RPS22A	YKR057W	RPS21A	True	False	False
YER074W	RPS24A	YPL081W	RPS9A	True	False	False
YLR287C-A	RPS30A	YPL081W	RPS9A	True	False	False
YLR287C-A	RPS30A	YOR298C-A	MBF1	True	False	False
YGR118W	RPS23A	YLR287C-A	RPS30A	True	False	False
YJR145C	RPS4A	YPL081W	RPS9A	True	False	False
YER074W	RPS24A	YJR145C	RPS4A	True	False	False
YHR203C	RPS4B	YPL081W	RPS9A	True	False	False
YER074W	RPS24A	YHR203C	RPS4B	True	False	False
YGL123W	RPS2	YPL081W	RPS9A	True	False	False
YGL123W	RPS2	YKR057W	RPS21A	True	False	False
YGL123W	RPS2	YJL190C	RPS22A	True	False	False
YDR138W	HPR1	YHR167W	THP2	True	True	False
YHR167W	THP2	YML062C	MFT1	True	False	True
YDR138W	HPR1	YML062C	MFT1	True	True	False
YHR167W	THP2	YNL139C	THO2	True	True	False
YDR138W	HPR1	YNL139C	THO2	True	True	False
YML062C	MFT1	YNL139C	THO2	True	True	False
YHR167W	THP2	YNL253W	TEX1	True	False	False
YDR138W	HPR1	YNL253W	TEX1	True	True	False
YNL139C	THO2	YNL253W	TEX1	True	True	False
YIL075C	RPN2	YLR421C	RPN13	True	True	True
YFR052W	RPN12	YIL075C	RPN2	True	True	False
YLR029C	RPL15A	YPL249C-A	RPL36B	True	False	False
YLR029C	RPL15A	YMR194W	RPL36A	True	False	False
YNL178W	RPS3	YOR298C-A	MBF1	True	False	False
YML024W	RPS17A	YNL178W	RPS3	True	False	False
YNL178W	RPS3	YNL178W	RPS3	True	False	False
YKL053C-A	MDM35	YKL053C-A	MDM35	True	False	False
YKL053C-A	MDM35	YLR193C	UPS1	True	True	False
YLR193C	UPS1	YLR193C	UPS1	True	False	False
YBR091C	TIM12	YEL020W-A	TIM9	True	False	False
YEL020W-A	TIM9	YJL054W	TIM54	True	False	False
YEL020W-A	TIM9	YHR005C-A	TIM10	True	True	False
YBR091C	TIM12	YHR005C-A	TIM10	True	False	False
YHR005C-A	TIM10	YJL054W	TIM54	True	False	False
YHR005C-A	TIM10	YHR005C-A	TIM10	True	False	False
YEL020W-A	TIM9	YOR297C	TIM18	True	False	False
YKL141W	SDH3	YOR297C	TIM18	True	False	False
YDL217C	TIM22	YEL020W-A	TIM9	True	False	False
YBR091C	TIM12	YDL217C	TIM22	True	False	False
YDL217C	TIM22	YJL054W	TIM54	True	False	False
YDL217C	TIM22	YOR297C	TIM18	True	False	False
YDL045W-A	MRP10	YHL004W	MRP4	True	False	False
YDR036C	EHD3	YHL004W	MRP4	True	False	False
YBL090W	MRP21	YDL045W-A	MRP10	True	False	False
YBL090W	MRP21	YKL003C	MRP17	True	False	False
YDL045W-A	MRP10	YIL093C	RSM25	True	False	False
YDR347W	MRP1	YIL093C	RSM25	True	False	False
YIL093C	RSM25	YOR158W	PET123	True	False	False
YDR036C	EHD3	YIL093C	RSM25	True	False	False
YHL004W	MRP4	YIL093C	RSM25	True	False	False
YBR251W	MRPS5	YIL093C	RSM25	True	False	False
YER050C	RSM18	YIL093C	RSM25	True	True	False
YDL045W-A	MRP10	YJR113C	RSM7	True	False	False
YBR146W	MRPS9	YJR113C	RSM7	True	False	False
