uniprot_ac	orf_id
Q9NZ09	527
P52797	1022
Q96CS3	7051
P0DMW5	10391
P0DMW4	10391
P50502	11727
P05013	13837
Q9UMQ3	13848
P05814	13850
P62956	13854
P62957	13854
P62955	13854
Q9NZQ7	13856
Q6ISU1	13873
P11226	13874
P47881	13883
Q9BXI2	13907
Q8WXH4	13908
Q92819	13942
O75603	13943
Q6ISB3	13972
O95256	13996
Q9H2U6	14014
P31371	14035
O95104	14804
Q9H6S3	15011
P61021	15067
P61020	15067
Q5RBG1	15067
Q9ULZ0	52566
Q9NRR3	52570
Q8BGH7	52570
P33778	52571
Q9BYD5	52577
Q9H8X3	52580
Q9UFV1	52582
Q9NZH8	52583
Q3SY46	52586
Q3SYF9	52589
Q8N104	52590
A4H211	52590
Q5IAB3	52590
Q86UW2	52592
Q86WN2	52593
Q495D7	52596
P83859	52597
P51460	52601
Q496H8	52604
Q6UW15	52605
Q5T2L2	52606
Q7Z4L0	52609
Q9UHA7	52610
O00253	52611
O75596	52612
P43359	52613
P23527	52617
Q96LL3	52618
Q502X0	52619
Q4PLJ0	52623
Q15843	52623
P61282	52623
P52798	52624
Q3B7S5	52625
Q9H6Z9	52628
Q494R0	52629
Q7YR30	52631
Q5TM51	52631
O60927	52631
Q9Y3P8	52632
P78543	52633
Q7Z7G2	52634
P0C0S8	53555
P0C0S9	53555
O95473	52637
O95563	52638
P18545	52639
Q92963	52640
P59037	52642
Q3KNT9	52643
O00526	52646
P58062	52649
O60575	52650
P04921	52654
Q04941	52655
Q9Y2B9	52656
O43716	52657
Q02577	52659
P09693	52661
Q6J4K2	52665
P25874	52669
Q9UPW6	52671
Q9NS98	52673
P0CH98	52675
Q9BWU0	52676
Q4KMZ1	52680
Q496Y0	52682
Q9H478	52684
Q7Z3E2	52688
Q9UBN4	52690
O94991	52692
Q9H4D0	52693
Q8TDN2	52694
Q9UGI9	52696
Q9NXH3	52697
Q96PL5	52699
Q9Y600	52703
Q8TD22	52706
Q96MV8	52707
Q9HBT6	52708
Q8WXF5	52711
Q9Y3N9	52712
Q6KCM7	52715
Q9BQB4	52725
Q9H5Y7	52727
Q8TF66	52729
Q496A3	52731
Q96P68	52732
Q9BXI3	52733
Q6ZMB0	52734
Q86SG7	52742
P40222	52743
P59543	52752
Q8N8I6	52754
Q495A1	52756
Q8NBB2	52757
Q86YW5	52761
Q8IVH4	52765
Q8N3R3	52766
P59536	52774
Q8N268	52779
Q3SY77	52782
Q8IXA5	52784
Q495M9	52785
Q495X7	52787
P59551	52789
Q3SXY8	52802
Q95KF7	52803
Q5SYC1	52803
Q495C1	52805
Q86WK7	52808
Q3SY56	52812
Q9UPM6	52814
Q496J9	52818
Q6VVB1	52819
Q6UXE8	52820
Q6XYQ8	52823
Q9ULK5	52829
Q9H3Y0	52837
Q9UJV8	52839
Q96J84	52841
Q8ND71	52842
Q9Y6Z7	52846
Q9UBT3	52847
Q86SG2	52849
O76041	52852
O95231	52853
Q5VTR2	52855
O15466	52858
P00740	52861
Q6UXV4	52865
Q9Y585	52868
Q9NZV8	52870
Q8N695	52872
Q9H2C1	52874
Q86YT6	52875
Q3KNW1	52878
Q13573	52879
Q3KR16	52884
Q32Q52	52889
Q06033	52897
Q9BR09	52899
O43819	52903
P51398	52905
Q3B7I2	52908
Q9BSA4	52909
Q693B1	52911
P98177	52916
Q86XR7	52917
Q99732	52920
P11049	52923
Q9H1L0	52924
P02675	52925
Q8NBR9	52928
Q96DD7	52929
P50549	52931
Q9Y6I4	52935
Q05940	52936
Q8IWR1	52937
P17752	52938
P08172	52939
Q8MK68	52942
Q9DCD6	52942
Q9GJW7	52942
P60517	52942
O95166	52942
P58173	52944
Q14012	52945
Q7Z5L0	52946
Q3SXR2	52948
Q3SXP7	52953
P07741	52956
P48201	52957
Q71S46	52957
Q8N239	52964
Q9H156	52966
Q02156	52967
Q32MQ0	52970
Q9NU19	52971
Q68DV7	52973
Q9UH90	52975
Q68DH5	52976
Q6ICB4	52977
P84097	52978
P84096	52978
P84095	52978
Q8TDB4	52979
Q08188	52983
O95267	52984
Q6ZNE5	52986
Q9UER7	52987
Q96N96	52990
Q08426	52993
P50991	52995
P10828	52996
Q3SXM0	53002
Q06187	53007
P40227	53008
Q08881	53009
Q02446	53010
Q15399	53011
Q13153	53012
P42127	53015
Q8IV77	53019
P52655	53021
Q02833	53022
O43829	53025
P55089	53026
P09972	53027
