OrthoDB_ID	Yeast_ORF	Gene_Name	Description
1000258at2759	YPR191W	QCR2	ubiquinol--cytochrome-c reductase subunit 2|UCR2|COR2 chromosome 16 L000001545 16 919381 920487 W  2011-02-03 1996-07-31 Subunit 2 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; phosphorylated; transcription is regulated by Hap1p, Hap2p/Hap3p, and heme
1000463at2759	YMR088C	VBA1	 chromosome 13  13 445102 443414 C  2011-02-03 1996-07-31 Permease of basic amino acids in the vacuolar membrane
1000591at2759	YFR029W	PTR3	RAA2|SSY3 chromosome 6 L000003185|L0000 6 210937 212973 W 46.0 2011-02-03 1996-07-31 Component of the SPS plasma membrane amino acid sensor system; senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes; other members are Ssy1p, Ptr3p, and Ssy5p
1000750at2759	YKR060W	UTP30	 chromosome 11  11 556518 557342 W  2011-02-03 1996-07-31 Putative subunit of U3-containing 90S preribosome complex; complex is involved in production of 18S rRNA and assembly of small ribosomal subunit
1001274at2759	YIL165C		 chromosome 9  9 34077 33718 C  1994-12-10 1994-12-10 Putative protein of unknown function; mutant exhibits mitophagy defects; in closely related species and other S. cerevisiae strain backgrounds YIL165C and adjacent ORF, YIL164C, likely constitute a single ORF encoding a nitrilase gene
1001347at2759	YHR207C	SET5	S-adenosylmethionine-dependent methyltransferase chromosome 8  8 516485 514905 C  2005-11-07 1996-07-31 Methyltransferase involved in methylation of histone H4 Lys5, -8, -12; S-adenosylmethionine-dependent; zinc-finger protein, contains one canonical and two unusual fingers in unusual arrangements; deletion enhances replication of positive-strand RNA virus
1001705at2759	YAR003W	SWD1	COMPASS subunit protein SWD1|SAF49|CPS50|FUN16 chromosome 1  1 155005 156285 W  2011-02-03 1996-07-31 Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7
1002357at2759	YLR244C	MAP1	methionine aminopeptidase MAP1 chromosome 12 L000001025 12 626331 625168 C  2011-02-03 1996-07-31 Methionine aminopeptidase; catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map2p
1003231at2759	YOR274W	MOD5	tRNA dimethylallyltransferase|[MOD+] chromosome 15 L000001131 15 837674 838960 W  2011-02-03 1996-07-31 Delta 2-isopentenyl pyrophosphate:tRNA isopentenyl transferase; required for biosynthesis of isopentenyladenosine in mitochondrial and cytoplasmic tRNAs; also has a role in tRNA gene-mediated silencing; gene encodes two isozymic forms; converts to a prion form, prion conversion contributes to azole antifungal resistance by upregulating ergosterol biosynthesis; homolog of human TRIT1, a mutation in which is associated with severe combined respiratory chain defects
1003258at2759	YJR013W	GPI14	glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I|PMH chromosome 10  10 460382 461593 W  2011-02-03 2004-02-12|1996-07-31 Glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I; involved in GPI anchor biosynthesis, requires Pbn1p for function; homolog of mammalian PIG-M
