uniprot_ac_a	uniprot_ac_b	in_contact	support	pdb_size	max_size
P00127	P07143	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
P00127	P08525	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
P00128	P00163	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
P00128	P07143	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
P00128	P07256	True	1ezv_1,1kyo_1,1p84_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,10,9,10,10,9,21,22	22
P00128	P07257	True	1ezv_1,1kyo_1,1p84_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,10,9,10,10,9,21,22	22
P00128	P08525	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
P00163	P07143	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
P00163	P07256	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
P00163	P08067	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
P00163	P08525	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
P07143	P08067	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
P07143	P08525	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
P07143	P22289	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
P07256	P07257	True	1ezv_1,1kb9_1,1kyo_1,1p84_1,2ibz_1,3cx5_1,3cxh_1,4pd4_1,6giq_1,6hu9_1	9,9,10,9,9,10,10,9,21,22	22
