Pdb	Group1	Group2	IntraclashesGroup1	IntraclashesGroup2	Interaction Energy	StabilityGroup1	StabilityGroup2
./Optimized_ma-bak-cepc-0001_Repair.pdb	A	B	147.447	207.069	-15.807	642.595	549.806
./Optimized_ma-bak-cepc-0002_Repair.pdb	A	B	156.007	32.2135	-43.6173	661.857	192.655
./Optimized_ma-bak-cepc-0003_Repair.pdb	A	B	202.874	48.5865	-7.60553	757.653	123.181
./Optimized_ma-bak-cepc-0004_Repair.pdb	A	B	64.5897	16.9777	-28.626	277.362	38.4603
./Optimized_ma-bak-cepc-0005_Repair.pdb	A	B	53.6341	328.187	-62.6786	184.722	1031.17
./Optimized_ma-bak-cepc-0006_Repair.pdb	A	B	227.758	71.5323	-29.4779	900.067	72.8623
./Optimized_ma-bak-cepc-0007_Repair.pdb	A	B	125.568	81.3348	-13.8685	268.822	244.288
./Optimized_ma-bak-cepc-0008_Repair.pdb	A	B	122.141	48.501	-33.1748	247.519	242.477
./Optimized_ma-bak-cepc-0009_Repair.pdb	A	B	107.786	54.323	-31.9865	200.972	40.4988
./Optimized_ma-bak-cepc-0010_Repair.pdb	A	B	127.951	80.2102	-11.5287	315.284	391.459
./Optimized_ma-bak-cepc-0011_Repair.pdb	A	B	13.6936	75.9409	-5.71203	43.6667	343.651
./Optimized_ma-bak-cepc-0012_Repair.pdb	A	B	36.793	8.42145	-14.2342	226.762	89.8212
./Optimized_ma-bak-cepc-0013_Repair.pdb	A	B	44.695	8.22604	0.211694	244.06	19.2253
./Optimized_ma-bak-cepc-0014_Repair.pdb	A	B	219.855	66.3064	-34.1747	868.154	85.4693
./Optimized_ma-bak-cepc-0015_Repair.pdb	A	B	41.8871	59.0688	-35.6631	226.179	51.5337
./Optimized_ma-bak-cepc-0016_Repair.pdb	A	B	105.551	5.47415	-25.0532	428.467	34.0157
./Optimized_ma-bak-cepc-0017_Repair.pdb	A	B	60.2701	88.5589	-14.1298	143.008	266.44
./Optimized_ma-bak-cepc-0018_Repair.pdb	A	B	37.9456	104.55	-29.4165	121.81	441.144
./Optimized_ma-bak-cepc-0019_Repair.pdb	A	B	54.7559	36.4101	-62.9223	103.132	84.9112
./Optimized_ma-bak-cepc-0020_Repair.pdb	A	B	63.3746	33.3255	-4.35133	115.972	220.471
./Optimized_ma-bak-cepc-0021_Repair.pdb	A	B	13.9259	4.10097	-56.4894	37.128	-8.94365
./Optimized_ma-bak-cepc-0022_Repair.pdb	A	B	9.83024	65.1165	-47.7091	41.5795	327.392
./Optimized_ma-bak-cepc-0023_Repair.pdb	A	B	13.1247	431.497	-22.7836	41.2408	1801.49
./Optimized_ma-bak-cepc-0024_Repair.pdb	A	B	71.465	12.9136	-60.5937	314.153	44.2752
./Optimized_ma-bak-cepc-0025_Repair.pdb	A	B	19.2555	24.8173	-29.1812	22.3129	31.1452
./Optimized_ma-bak-cepc-0026_Repair.pdb	A	B	189.347	62.0718	-21.7687	698.032	118.425
./Optimized_ma-bak-cepc-0027_Repair.pdb	A	B	38.3277	122.754	-28.6822	109.98	71.017
./Optimized_ma-bak-cepc-0028_Repair.pdb	A	B	5.01195	232.755	-9.29457	30.3658	757.186
./Optimized_ma-bak-cepc-0029_Repair.pdb	A	B	16.4991	6.34015	-10.0732	121.787	89.0043
./Optimized_ma-bak-cepc-0030_Repair.pdb	A	B	14.3584	47.453	-3.35253	16.3712	144.836
./Optimized_ma-bak-cepc-0031_Repair.pdb	A	B	52.4166	36.5293	-26.786	208.133	131.801
./Optimized_ma-bak-cepc-0032_Repair.pdb	A	B	5.90359	47.6323	-11.5792	2.68187	153.581
./Optimized_ma-bak-cepc-0033_Repair.pdb	A	B	31.9183	8.96021	-49.2937	-43.6845	7.25604
./Optimized_ma-bak-cepc-0034_Repair.pdb	A	B	38.4716	52.8733	-38.3893	-29.9196	146.664
./Optimized_ma-bak-cepc-0035_Repair.pdb	A	B	38.4379	17.0311	-26.8607	-45.1206	78.316
./Optimized_ma-bak-cepc-0036_Repair.pdb	A	B	32.7716	68.9476	-67.9818	81.9721	-62.1069
./Optimized_ma-bak-cepc-0037_Repair.pdb	A	B	30.005	9.09436	-17.6833	53.15	25.9876
./Optimized_ma-bak-cepc-0038_Repair.pdb	A	B	28.0344	62.4252	-68.6482	-43.4024	-57.4694
./Optimized_ma-bak-cepc-0039_Repair.pdb	A	B	26.5369	11.6182	-34.519	-37.1914	53.8234
./Optimized_ma-bak-cepc-0040_Repair.pdb	A	B	26.1711	20.5997	-21.2971	105	134.125
./Optimized_ma-bak-cepc-0041_Repair.pdb	A	B	41.9403	21.9872	-1.25498	24.1028	31.2128
./Optimized_ma-bak-cepc-0042_Repair.pdb	A	B	38.233	168.584	-25.7355	6.82859	511.696
./Optimized_ma-bak-cepc-0043_Repair.pdb	A	B	30.5698	353.153	-2.91964	13.2437	1416.58
./Optimized_ma-bak-cepc-0044_Repair.pdb	A	B	29.424	34.4564	-30.3658	32.2502	130.33
./Optimized_ma-bak-cepc-0045_Repair.pdb	A	B	51.9531	59.1591	-31.7393	-71.6393	9.08761
./Optimized_ma-bak-cepc-0046_Repair.pdb	A	B	34.3314	19.1155	-16.2947	134.205	107.804
./Optimized_ma-bak-cepc-0047_Repair.pdb	A	B	11.24	4.25701	-14.5489	124.274	34.6038
./Optimized_ma-bak-cepc-0048_Repair.pdb	A	B	9.14857	5.11587	-15.527	36.5751	26.3916
./Optimized_ma-bak-cepc-0049_Repair.pdb	A	B	9.77209	92.9859	-1.07477	39.3511	330.035
./Optimized_ma-bak-cepc-0050_Repair.pdb	A	B	5.98199	80.8043	-10.4565	33.4041	288.42
./Optimized_ma-bak-cepc-0051_Repair.pdb	A	B	21.6872	31.8709	-81.6042	107.439	123.579
./Optimized_ma-bak-cepc-0052_Repair.pdb	A	B	51.6397	14.5916	-3.44661	123.694	30.3005
./Optimized_ma-bak-cepc-0053_Repair.pdb	A	B	54.1182	45.7743	-25.5748	140.937	-15.8769
./Optimized_ma-bak-cepc-0054_Repair.pdb	A	B	35.5728	38.9715	-28.1992	131.062	249.215
./Optimized_ma-bak-cepc-0055_Repair.pdb	A	B	22.1119	52.5217	-19.0352	-3.22139	234.68
./Optimized_ma-bak-cepc-0056_Repair.pdb	A	B	18.9979	10.0536	-20.2766	79.1349	17.8191
./Optimized_ma-bak-cepc-0057_Repair.pdb	A	B	12.0238	67.804	-7.87887	81.8574	313.991
./Optimized_ma-bak-cepc-0058_Repair.pdb	A	B	16.9032	15.9056	-1.65408	60.6141	77.1011
./Optimized_ma-bak-cepc-0059_Repair.pdb	A	B	17.0166	8.48191	-14.4203	76.2263	11.9588
./Optimized_ma-bak-cepc-0060_Repair.pdb	A	B	21.6637	12.3664	-12.7727	68.5231	43.2525
./Optimized_ma-bak-cepc-0061_Repair.pdb	A	B	17.5551	55.8294	-14.952	52.0226	55.0326
./Optimized_ma-bak-cepc-0062_Repair.pdb	A	B	19.6389	17.0233	-5.7702	78.6646	58.3023
./Optimized_ma-bak-cepc-0063_Repair.pdb	A	B	24.4734	11.0076	-9.07386	85.376	57.5782
./Optimized_ma-bak-cepc-0064_Repair.pdb	A	B	20.725	9.82373	-17.0109	86.3752	17.4377
./Optimized_ma-bak-cepc-0065_Repair.pdb	A	B	12.4007	26.224	-10.4852	4.52546	119.938
./Optimized_ma-bak-cepc-0066_Repair.pdb	A	B	21.728	161.156	-45.169	44.4585	724.602
./Optimized_ma-bak-cepc-0067_Repair.pdb	A	B	21.0662	120.16	-19.8184	21.7843	268.477
./Optimized_ma-bak-cepc-0068_Repair.pdb	A	B	32.887	64.4691	-25.6557	-20.2842	120.072
./Optimized_ma-bak-cepc-0069_Repair.pdb	A	B	35.1829	19.7407	-27.7579	-13.5919	43.8051
./Optimized_ma-bak-cepc-0070_Repair.pdb	A	B	61.2522	305.577	-115.685	177.886	1252.23
./Optimized_ma-bak-cepc-0071_Repair.pdb	A	B	42.3357	290.078	-13.6573	110.507	1061.83
./Optimized_ma-bak-cepc-0072_Repair.pdb	A	B	35.7426	159.114	-13.7015	87.5948	325.7
./Optimized_ma-bak-cepc-0073_Repair.pdb	A	B	36.0157	27.3285	-21.6888	83.7839	55.3863
./Optimized_ma-bak-cepc-0074_Repair.pdb	A	B	181.327	34.2367	-28.281	484.205	-12.6293
./Optimized_ma-bak-cepc-0075_Repair.pdb	A	B	70.24	105.954	-9.47113	-80.5654	309.521
./Optimized_ma-bak-cepc-0076_Repair.pdb	A	B	93.1153	59.7653	-17.8127	160.498	86.3914
./Optimized_ma-bak-cepc-0077_Repair.pdb	A	B	86.642	38.4392	-17.513	124.409	109.843
./Optimized_ma-bak-cepc-0078_Repair.pdb	A	B	29.1265	40.8752	-44.1717	64.6546	266.696
./Optimized_ma-bak-cepc-0079_Repair.pdb	A	B	28.4528	466.438	-61.3708	76.504	1634.21
./Optimized_ma-bak-cepc-0080_Repair.pdb	A	B	92.7206	71.2127	-41.8457	250.998	99.9288
./Optimized_ma-bak-cepc-0082_Repair.pdb	A	B	109.746	53.4974	-27.2306	302.584	170.917
./Optimized_ma-bak-cepc-0083_Repair.pdb	A	B	46.4019	6.01321	-9.70468	153.189	0.300031
./Optimized_ma-bak-cepc-0084_Repair.pdb	A	B	29.1597	8.47141	-5.81047	105.858	61.3362
./Optimized_ma-bak-cepc-0085_Repair.pdb	A	B	37.3029	12.5493	-46.6338	166.552	61.2799
./Optimized_ma-bak-cepc-0086_Repair.pdb	A	B	9.4155	51.0282	-8.86388	49.6025	141.614
./Optimized_ma-bak-cepc-0087_Repair.pdb	A	B	132.634	213.422	-38.8412	418.668	609.413
./Optimized_ma-bak-cepc-0088_Repair.pdb	A	B	111.647	111.499	-29.2129	424.994	315.016
./Optimized_ma-bak-cepc-0089_Repair.pdb	A	B	99.4753	85.0003	-30.6066	389.313	237.051
./Optimized_ma-bak-cepc-0090_Repair.pdb	A	B	25.2742	39.2823	-26.8934	50.4888	135.358
./Optimized_ma-bak-cepc-0091_Repair.pdb	A	B	49.0738	48.2278	-27.3676	20.9435	15.1873
./Optimized_ma-bak-cepc-0092_Repair.pdb	A	B	7.23696	125.424	-35.0927	7.48887	80.6595
./Optimized_ma-bak-cepc-0093_Repair.pdb	A	B	18.7629	22.0613	0.486889	17.3295	59.6958
./Optimized_ma-bak-cepc-0094_Repair.pdb	A	B	9.0013	129.922	-28.3993	22.5047	323.79
./Optimized_ma-bak-cepc-0095_Repair.pdb	A	B	86.5295	144.355	-20.0517	295.185	441.516
./Optimized_ma-bak-cepc-0096_Repair.pdb	A	B	13.833	27.679	-7.91026	37.9303	0.904188
./Optimized_ma-bak-cepc-0097_Repair.pdb	A	B	10.2677	11.2019	-15.9239	26.0241	-9.10752
./Optimized_ma-bak-cepc-0098_Repair.pdb	A	B	9.34403	11.3992	-20.0742	36.7436	25.8771
./Optimized_ma-bak-cepc-0099_Repair.pdb	A	B	10.0832	8.98119	-18.7383	40.8266	50.6581
./Optimized_ma-bak-cepc-0100_Repair.pdb	A	B	31.1008	8.2915	-11.4908	20.7622	21.2166
./Optimized_ma-bak-cepc-0101_Repair.pdb	A	B	29.9444	27.4683	-9.69753	13.6657	27.3032
./Optimized_ma-bak-cepc-0102_Repair.pdb	A	B	18.25	19.4278	-5.80636	100.471	90.7852
./Optimized_ma-bak-cepc-0103_Repair.pdb	A	B	12.41	50.5342	-4.13909	27.1175	139.673
./Optimized_ma-bak-cepc-0104_Repair.pdb	A	B	26.0445	14.5122	-3.04502	78.4248	97.6813
./Optimized_ma-bak-cepc-0105_Repair.pdb	A	B	16.1808	40.9905	-26.0502	73.9514	225.658
./Optimized_ma-bak-cepc-0106_Repair.pdb	A	B	16.1489	27.5345	-28.7653	40.0774	106.227
./Optimized_ma-bak-cepc-0107_Repair.pdb	A	B	18.5119	51.7835	-5.53502	21.0651	101.528
./Optimized_ma-bak-cepc-0108_Repair.pdb	A	B	19.5689	8.38221	-5.69392	72.5282	-11.7934
./Optimized_ma-bak-cepc-0109_Repair.pdb	A	B	21.7673	16.154	-10.8128	70.1751	82.7527
./Optimized_ma-bak-cepc-0110_Repair.pdb	A	B	27.023	58.3049	-30.193	-22.831	172.92
./Optimized_ma-bak-cepc-0111_Repair.pdb	A	B	52.4577	83.2847	-19.9796	-9.19197	113.43
./Optimized_ma-bak-cepc-0112_Repair.pdb	A	B	10.9809	4.96463	-25.5387	38.6071	57.3717
./Optimized_ma-bak-cepc-0113_Repair.pdb	A	B	88.7578	99.6952	-67.1425	316.805	297.876
./Optimized_ma-bak-cepc-0114_Repair.pdb	A	B	145.087	91.8338	-8.79599	484.374	74.265
./Optimized_ma-bak-cepc-0115_Repair.pdb	A	B	71.731	75.8456	-49.7874	222.605	249.907
./Optimized_ma-bak-cepc-0116_Repair.pdb	A	B	60.6249	45.952	-30.8465	23.1191	13.7723
./Optimized_ma-bak-cepc-0117_Repair.pdb	A	B	45.3325	63.2232	4.11981	143.307	241.565
