orf_name_a	orf_name_b	PDB_ID	interface_area	date	n_polypeptide	n_dna	n_rna	n_sugar	n_ligand	n_carbohydrate_polymer	experimental_method	polymeric_count	min_coverage	mean_coverage	n_residue_contacts	IntraclashesGroup1	IntraclashesGroup2	Interaction Energy	StabilityGroup1	StabilityGroup2
YFL026W	YHR005C	7ad3		20201209.0	5.0	0.0	0.0	0.0	2.0	0.0	Electron Microscopy	8.0	36.4	52.75						
YGL130W	YPL228W	3kyh	345.09277343800005	20100216.0	2.0	0.0	0.0	0.0	0.0	0.0	X-ray diffraction	4.0	53.7	70.95	16.0	37.2374	55.0576	-3.73366	197.471	321.389
YOR298C-A	YPL081W	6zvi		20200909.0	34.0	0.0	4.0	0.0	1.0	0.0	Electron Microscopy	38.0	73.5	83.7						
YOR361C	YPL081W	6zce		20201007.0	43.0	0.0	1.0	0.0	5.0	0.0	Electron Microscopy	45.0	87.3	90.6						
YJL190C	YPL081W	6eml	101.479003906	20171129.0	31.0	0.0	1.0	0.0	0.0	0.0	Electron Microscopy	32.0	93.9	96.55000000000001	5.0	22.6298	15.3563	-1.40186	131.317	43.0305
YDR064W	YJL190C	6zvi	190.941650391	20200909.0	34.0	0.0	4.0	0.0	1.0	0.0	Electron Microscopy	38.0	99.2	99.25						
YJL190C	YKR057W	6zvi	253.834228516	20200909.0	34.0	0.0	4.0	0.0	1.0	0.0	Electron Microscopy	38.0	99.2	99.6						
YER074W	YPL081W	6zvi	165.349121094	20200909.0	34.0	0.0	4.0	0.0	1.0	0.0	Electron Microscopy	38.0	93.9	96.6						
YLR287C-A	YPL081W	7a1g	497.4677734380001	20201014.0	35.0	0.0	1.0	0.0	4.0	0.0	Electron Microscopy	37.0	93.4	94.30000000000001						
YLR287C-A	YOR298C-A	6zvi		20200909.0	34.0	0.0	4.0	0.0	1.0	0.0	Electron Microscopy	38.0	73.0	73.25						
YGR118W	YLR287C-A	7a1g	553.0427246090001	20201014.0	35.0	0.0	1.0	0.0	4.0	0.0	Electron Microscopy	37.0	95.2	97.25						
YJR145C	YPL081W	6zvi	310.615722656	20200909.0	34.0	0.0	4.0	0.0	1.0	0.0	Electron Microscopy	38.0	93.9	96.75						
YER074W	YJR145C	6zvi	534.6015625	20200909.0	34.0	0.0	4.0	0.0	1.0	0.0	Electron Microscopy	38.0	99.3	99.44999999999999						
YGL123W	YPL081W	6zvi	358.232910156	20200909.0	34.0	0.0	4.0	0.0	1.0	0.0	Electron Microscopy	38.0	85.4	89.65						
YGL123W	YKR057W	6zvi	1321.84667969	20200909.0	34.0	0.0	4.0	0.0	1.0	0.0	Electron Microscopy	38.0	85.4	92.7						
YGL123W	YJL190C	6zvi	534.2727050780001	20200909.0	34.0	0.0	4.0	0.0	1.0	0.0	Electron Microscopy	38.0	85.4	92.30000000000001						
YDR138W	YHR167W	7apx		20201202.0	6.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	6.0	80.2	84.15						
YHR167W	YML062C	7apx		20201202.0	6.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	6.0	62.8	75.44999999999999						
YDR138W	YML062C	7apx		20201202.0	6.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	6.0	62.8	71.5						
YHR167W	YNL139C	7apx		20201202.0	6.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	6.0	75.8	81.94999999999999						
YDR138W	YNL139C	7apx		20201202.0	6.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	6.0	75.8	78.0						
YML062C	YNL139C	7apx		20201202.0	6.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	6.0	62.8	69.3						
YIL075C	YLR421C	4cr4	112.950195312	20140402.0	33.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	33.0	81.4	84.75	6.0	151.644	210.546	-0.0796236	267.853	545.697
YFR052W	YIL075C	5mpd	499.47265625	20170308.0	13.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	13.0	97.1	97.35	28.0	12.1128	56.7367	-7.45235	159.485	379.875
YLR029C	YPL249C-A	6em3	77.20263671880001	20171227.0	30.0	0.0	3.0	0.0	0.0	0.0	Electron Microscopy	33.0	74.0	86.75	9.0	5.22831	59.341	-10.7934	35.1815	126.85
YLR029C	YMR194W	6em3	77.20263671880001	20171227.0	30.0	0.0	3.0	0.0	0.0	0.0	Electron Microscopy	33.0	74.0	86.75	9.0	5.22831	59.341	-10.7934	35.1815	126.85
YNL178W	YOR298C-A	6zvi		20200909.0	34.0	0.0	4.0	0.0	1.0	0.0	Electron Microscopy	38.0	73.5	83.2						
YML024W	YNL178W	6zvi	449.302734375	20200909.0	34.0	0.0	4.0	0.0	1.0	0.0	Electron Microscopy	38.0	91.9	92.4						
YKL053C-A	YLR193C	4ytw	1391.27050781	20150812.0	2.0	0.0	0.0	0.0	0.0	0.0	X-ray diffraction	4.0	87.2	91.6	90.0	3.7658	13.1837	-45.1296	12.2862	13.2288
YBR091C	YEL020W-A	6lo8		20200930.0	7.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	10.0	77.1	84.55						
YEL020W-A	YJL054W	6lo8		20200930.0	7.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	10.0	24.1	58.05						
YEL020W-A	YHR005C-A	3dxr	425.877441406	20081223.0	2.0	0.0	0.0	0.0	0.0	0.0	X-ray diffraction	6.0	74.2	76.75	20.0	7.03581	4.84399	-7.68248	19.087	17.4789
YBR091C	YHR005C-A	6lo8		20200930.0	7.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	10.0	77.1	78.35						
YHR005C-A	YJL054W	6lo8		20200930.0	7.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	10.0	24.1	51.3						
YEL020W-A	YOR297C	6lo8		20200930.0	7.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	10.0	62.0	73.55						
YKL141W	YOR297C	6lo8		20200930.0	7.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	10.0	56.6	59.3						
YDL217C	YEL020W-A	6lo8		20200930.0	7.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	10.0	87.9	89.95						
YBR091C	YDL217C	6lo8		20200930.0	7.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	10.0	77.1	82.5						
YDL217C	YJL054W	6lo8		20200930.0	7.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	10.0	24.1	56.0						
YDL217C	YOR297C	6lo8		20200930.0	7.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	10.0	62.0	74.95						
YDR363W-A	YER021W	3jck	1202.29272461	20160120.0	9.0	0.0	0.0	0.0	1.0	0.0	Electron Microscopy	9.0	65.2	66.25	57.0	7.09425	66.0978	-21.9945	45.4731	161.547
YER021W	YFR052W	3jck	1644.78613281	20160120.0	9.0	0.0	0.0	0.0	1.0	0.0	Electron Microscopy	9.0	67.3	82.19999999999999	83.0	50.4208	62.9292	-25.2051	149.16	161.728
YER021W	YIL075C	5mpd	707.952148438	20170308.0	13.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	13.0	90.8	94.19999999999999	30.0	67.0463	34.1573	-6.1422	374.506	249.276
YDR159W	YDR363W-A	3t5v	322.292236328	20120222.0	3.0	0.0	0.0	0.0	0.0	0.0	X-ray diffraction	3.0	23.0	49.15	19.0	3.60734	27.4518	-3.45086	31.2602	-40.4885
YDR159W	YOR257W	3fwb	1426.75415039	20090414.0	3.0	0.0	0.0	0.0	0.0	0.0	X-ray diffraction	3.0	4.2	49.6	74.0	10.3423	1.49179	-39.655	25.257	-3.97813
YDR159W	YOR098C	4mbe	362.565979004	20140702.0	4.0	0.0	0.0	0.0	1.0	0.0	X-ray diffraction	5.0	0.9	2.4	19.0	0.152835	0.98075	-11.1163	8.17702	-6.63759
YDR363W-A	YPR108W	3jck	806.4440917969999	20160120.0	9.0	0.0	0.0	0.0	1.0	0.0	Electron Microscopy	9.0	65.2	79.7	43.0	5.99105	73.2781	-21.3798	46.3457	127.146
YER021W	YPR108W	3jck	1105.51367188	20160120.0	9.0	0.0	0.0	0.0	1.0	0.0	Electron Microscopy	9.0	67.3	80.75	59.0	60.4423	78.2304	-21.2572	156.212	136.139
YGL048C	YPR108W	4cr2	895.553710938	20140402.0	33.0	0.0	0.0	0.0	0.0	0.0	Electron Microscopy	33.0	92.1	92.65	50.0	41.539	60.374	-7.23936	227.983	245.775
YDR363W-A	YOL072W	5ubp	2401.08422852	20170405.0	3.0	0.0	0.0	0.0	0.0	0.0	X-ray diffraction	3.0	70.8	85.4	127.0	1.31757	31.3808	-54.6543	33.3806	-114.002
YDR159W	YOL072W	5ubp	4051.12304688	20170405.0	3.0	0.0	0.0	0.0	0.0	0.0	X-ray diffraction	3.0	36.0	68.0	249.0	26.2528	27.7214	-106.537	-46.5896	-116.058
YJR048W	YKR066C	2bcn	576.46875	20060228.0	2.0	0.0	0.0	0.0	2.0	0.0	X-ray diffraction	3.0	81.4	90.25	30.0	9.26224	15.8047	-9.1842	76.9982	-20.7501
YJR048W	YOR065W	3cx5	471.835449219	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	80.3	89.69999999999999	21.0	5.0622	11.851	-4.64143	16.3427	8.75296
YEL039C	YOR065W	3cxh	530.6159667969999	20080513.0	12.0	0.0	0.0	0.0	9.0	1.0	X-ray diffraction	23.0	79.6	89.35	24.0	8.79694	12.8994	-7.86933	34.6437	25.5972
YFR033C	YOR065W	3cx5	1124.76196289	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	50.3	65.3	72.0	4.13619	12.8859	-31.0958	1.95755	15.4907
YDR529C	YOR065W	3cx5	416.728515625	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	80.3	89.75	18.0	4.40883	12.706	-8.81287	-6.29779	9.65591
Q0105	YOR065W	3cx5	1583.32519531	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	80.3	90.15	84.0	18.863	12.2701	-43.3994	-27.471	15.765
YFR033C	YJL166W	3cx5	168.887451172	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	50.3	74.6	8.0	4.17871	4.63214	-2.23137	-0.515242	50.4502
YDR529C	YJL166W	3cx5	515.591796875	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	98.9	99.05000000000001	20.0	3.59771	4.52709	-5.20762	-4.99342	52.1006
Q0105	YJL166W	3cx5	150.811035156	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	98.9	99.45	10.0	19.567	4.40286	0.156274	-33.6999	50.9816
YJL166W	YOR065W	3cx5	730.1303710939999	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	80.3	89.6	44.0	12.6322	5.17069	-13.0866	16.2222	54.4174
YBL045C	YJL166W	3cx5	856.6596679689999	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	94.3	96.6	52.0	31.707	6.10477	-13.8898	31.2608	60.4356
YEL024W	YJL166W	3cx5	533.291503906	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	86.0	92.45	29.0	10.8251	4.37416	-8.37871	40.3949	52.2308
Q0105	YDR529C	3cx5	1813.19921875	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	99.2	99.6	110.0	4.77797	18.8965	-49.4847	-4.13022	-29.6065
YBL045C	YDR529C	3cx5	211.760742188	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	94.3	96.75	10.0	4.38873	30.7517	-2.0729	-7.67254	42.6642
Q0105	YBL045C	3cx5	453.641601562	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	94.3	97.15	26.0	19.4937	30.8184	-7.10261	-33.7239	47.0147
YBL045C	YNL052W	6ymx	575.027832031	20200909.0	25.0	0.0	0.0	0.0	15.0	0.0	Electron Microscopy	32.0	83.7	89.0						
YBL045C	YIL111W	6t0b		20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	88.1	91.19999999999999						
YBL045C	YOR065W	3cx5	146.4453125	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	80.3	87.3	6.0	12.9151	31.5748	-0.854898	7.98891	26.5282
YDR529C	YPR191W	3cx5	370.407714844	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	95.7	97.45	16.0	3.85609	26.7691	-9.56263	-4.61386	3.62418
YBL045C	YPR191W	3cx5	1517.31542969	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	94.3	95.0	91.0	30.3366	23.9434	-29.3613	32.5868	6.4056
YDR529C	YHR001W-A	6t0b	292.739501953	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	98.7	98.95						
Q0105	YHR001W-A	6t0b	141.776611328	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	98.7	99.35						
YHR001W-A	YOR065W	6t0b	200.560791016	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	79.9	89.30000000000001						
YBL045C	YHR001W-A	6t0b	279.928955078	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	94.3	96.5						
YHR001W-A	YPR191W	6t0b	364.291748047	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	95.7	97.2						
YEL024W	YHR001W-A	6t0b	190.349365234	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	86.0	92.35						
YGR183C	YHR001W-A	6t0b	503.0654296880001	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	86.4	92.55000000000001						
Q0105	YEL024W	3cx5	559.262695312	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	86.0	93.0	30.0	17.8148	10.6401	-11.4085	-33.7142	38.7281
YEL024W	YOR065W	3cx5	705.600585938	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	80.3	83.15	29.0	12.8781	14.7234	-16.5306	13.6876	51.8783
YBL045C	YEL024W	3cx5	573.930664062	20080513.0	12.0	0.0	0.0	0.0	10.0	1.0	X-ray diffraction	23.0	86.0	90.15	28.0	31.6429	10.5781	-7.74446	48.8311	37.3918
Q0045	Q0250	6t0b	3521.671875	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	94.0	97.0						
Q0045	Q0275	6t0b	1961.36035156	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	100.0	100.0						
Q0045	YNL052W	6ymx	1252.02392578	20200909.0	25.0	0.0	0.0	0.0	15.0	0.0	Electron Microscopy	32.0	83.7	91.5						
Q0250	YNL052W	6ymx	104.862792969	20200909.0	25.0	0.0	0.0	0.0	15.0	0.0	Electron Microscopy	32.0	83.7	88.85						
Q0045	YIL111W	6t0b		20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	88.1	94.05						
Q0250	YIL111W	6t0b		20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	88.1	91.05						
Q0045	YHR051W	6t0b	305.909667969	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	68.9	84.45						
Q0250	YHR051W	6t0b	314.001464844	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	68.9	81.45						
YHR051W	YNL052W	6ymx	662.290039062	20200909.0	25.0	0.0	0.0	0.0	15.0	0.0	Electron Microscopy	32.0	66.9	75.30000000000001						
YHR051W	YIL111W	6t0b		20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	68.9	78.5						
Q0045	YGL187C	6t0b	288.982666016	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	78.1	89.05						
Q0250	YGL187C	6t0b	101.159667969	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	78.1	86.05						
Q0275	YGL187C	6t0b	456.61840820300006	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	78.1	89.05						
YGL187C	YHR051W	6t0b	366.05981445300006	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	68.9	73.5						
Q0045	YLR395C	6t0b	984.628295898	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	65.4	82.7						
Q0045	YDL067C	6giq	84.1423339844	20190102.0	22.0	0.0	0.0	0.0	13.0	0.0	Electron Microscopy	32.0	83.1	90.44999999999999	5.0	43.428	5.52754	-0.827519	118.542	5.06696
Q0250	YDL067C	6t0b	1021.86889648	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	93.2	93.6						
YDL067C	YNL052W	6ymx	182.486572266	20200909.0	25.0	0.0	0.0	0.0	15.0	0.0	Electron Microscopy	32.0	83.7	86.75						
YDL067C	YIL111W	6t0b		20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	88.1	90.65						
YDL067C	YHR051W	6t0b	107.401123047	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	68.9	81.05000000000001						
Q0045	YMR256C	6t0b	148.149902344	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	98.3	99.15						
Q0275	YMR256C	6t0b	603.376464844	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	98.3	99.15						
YGL187C	YMR256C	6t0b	278.80859375	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	78.1	88.19999999999999						
Q0045	YGL191W	6t0b	420.142089844	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	87.6	93.8						
Q0275	YGL191W	6t0b	268.683959961	20200422.0	23.0	0.0	0.0	0.0	12.0	0.0	Electron Microscopy	46.0	87.6	93.8						
