orf_name	Conservation	Essential	Publication count	Abundance
YAL069W	1	0	0	1.12
YAL068W-A	4	0	0	0.0
YAL068C	5	0	13	0.014
YAL067W-A	4	0	3	0.06
YAL067C	12	0	14	1.47
YAL066W	1	0	0	1.5
YAL065C	10	0	6	1.32
YAL064W-B	7	0	7	1.5
YAL064C-A	10	0	8	1.62
YAL064W	2	0	3	1.06
YAL063C-A	2	0	5	0.081
YAL063C	10	0	14	0.1
YAL062W	15	0	26	15.0
YAL061W	10	0	16	31.6
YAL060W	11	0	25	193.0
YAL059W	11	0	34	62.7
YAL059C-A	0	0	0	0.177
YAL058W	10	0	31	36.4
YAL056C-A	1	0	0	0.102
YAL056W	11	0	29	2.44
YAL055W	6	0	29	3.97
YAL054C	12	0	35	99.7
YAL053W	12	0	33	25.8
YAL051W	11	0	36	5.9
YAL049C	14	0	12	78.6
YAL047W-A	3	0	0	0.052
YAL048C	26	0	33	0.406
YAL047C	7	0	44	25.3
YAL046C	11	0	18	93.4
YAL044W-A	11	0	11	5.59
YAL045C	0	0	0	1.05
YAL044C	28	0	24	262.0
YAL043C	11	1	51	90.3
YAL042W	14	0	38	48.2
YAL042C-A	2	0	0	1.33
YAL041W	10	1	102	26.3
YAL040C	10	0	120	1.42
YAL039C	17	0	22	46.2
YAL038W	29	1	85	14914.0
YAL037C-B	0	0	0	0.0
YAL037C-A	1	0	3	0.104
YAL037W	6	0	6	1.44
YAL036C	29	0	39	175.0
YAL035W	12	0	75	383.0
YAL034W-A	11	1	52	27.3
YAL034C-B	4	0	0	0.0
YAL034C	10	0	17	1.58
YAL033W	12	1	29	43.6
YAL032C	11	1	36	17.6
YAL031W-A	1	0	0	0.0
YAL031C	11	0	25	8.32
YAL030W	10	0	77	44.4
YAL029C	10	0	63	56.7
YAL028W	6	0	27	9.65
YAL027W	11	0	26	9.81
YAL026C-A	4	0	0	0.0
YAL026C	26	0	86	30.8
YAL025C	27	1	40	46.0
YAL024C	11	0	87	7.8
YAL023C	26	0	66	88.9
YAL022C	24	0	20	15.0
YAL021C	27	0	134	45.2
YAL019W-A	4	0	0	0.557
YAL020C	24	0	31	1.55
YAL019W	12	0	45	88.7
YAL018C	11	0	13	1.23
YAL017W	11	0	38	17.5
YAL016C-B	2	0	0	0.0
YAL016W	26	0	59	399.0
YAL016C-A	4	0	0	0.0
YAL015C	10	0	52	2.27
YAL014C	11	0	21	1.57
YAL013W	9	0	78	9.84
YAL012W	26	0	47	780.0
YAL011W	11	0	70	12.5
YAL010C	14	0	53	9.77
YAL009W	11	0	30	7.96
YAL008W	6	0	20	23.5
YAL007C	26	0	33	312.0
YAL004W	0	0	0	1.46
YAL005C	23	0	257	5396.0
YAL003W	29	1	41	2155.0
YAL002W	13	0	59	7.02
YAL001C	11	1	46	7.58
YAR002W	11	0	103	66.7
YAR002C-A	27	0	40	260.0
YAR003W	28	0	73	8.58
YAR007C	27	1	141	113.0
YAR008W	23	1	16	2.45
YAR014C	11	0	51	23.2
YAR015W	16	0	25	295.0
YAR018C	14	0	33	0.328
YAR019W-A	3	0	0	0.041
YAR019C	11	1	91	7.11
YAR020C	5	0	6	1.46
YAR023C	6	0	10	2.3
YAR027W	6	0	18	14.2
YAR028W	6	0	15	19.3
YAR029W	6	0	12	1.17
YAR031W	6	0	17	5.01
YAR030C	1	0	0	1.1
YAR033W	6	0	16	1.3
YAR035W	26	0	22	8.85
YAR035C-A	1	0	3	0.0
YAR042W	12	0	41	36.2
YAR047C	2	0	0	1.38
YAR050W	10	0	35	17.8
YAR053W	1	0	0	1.18
YAR060C	3	0	0	2.72
YAR064W	3	0	3	11.4
YAR066W	4	0	9	0.129
YAR068W	5	0	6	1.4
YAR069C	4	0	2	0.0
YAR070C	4	0	0	1.4
YAR071W	13	0	12	316.0
YAR073W	0	0	0	39.6
YAR075W	10	0	0	113.0
YJL225W-A	0	0	0	0.007
YJL225C	10	0	7	1.37
YJL223C	5	0	7	1.49
YJL222W-B	4	0	0	0.0
YJL222W-A	4	0	0	0.762
YJL222W	14	0	10	4.35
YJL220W	2	0	0	0.024
YJL221C	14	0	12	0.045
YJL219W	13	0	10	1.33
YJL218W	12	0	13	1.84
YJL217W	4	0	14	48.2
YJL216C	14	0	10	1.59
YJL215C	3	0	0	1.19
YJL214W	13	0	24	7.67
YJL213W	10	0	13	1.48
YJL212C	15	0	29	29.2
YJL210W	10	0	32	7.38
YJL211C	2	0	0	1.34
YJL209W	6	0	23	24.3
YJL208C	27	0	39	31.4
YJL207C	10	0	19	56.2
YJL206C	10	0	16	1.48
YJL205C	7	0	13	0.48
YJL204C	11	0	49	24.0
YJL203W	9	1	40	24.6
YJL202C	3	1	0	0.059
YJL201W	11	0	15	31.1
YJL200C	13	0	25	374.0
YJL199C	6	0	0	1.55
