gene_name_1	orf_name_1	uniprot_ac_1	gene_name_2	orf_name_2	uniprot_ac_2	FILENAME	interface_area	IntraclashesGroup1	IntraclashesGroup2	Interaction Energy	StabilityGroup1	StabilityGroup2
CET1	YPL228W	O13297	CEG1	YGL130W	Q01159	O13297-Q01159-EXP-3kyh.pdb1-B-0-D-0.pdb	345.09277343800005	37.2374	55.0576	-3.73366	197.471	321.389
RPS9A	YPL081W	O13516	RPS22A	YJL190C	P0C0W1	O13516-P0C0W1-EXP-6eml.pdb1-W-0-b-0.pdb	101.479003906	22.6298	15.3563	-1.40186	131.317	43.0305
RPS13	YDR064W	P05756	RPS22A	YJL190C	P0C0W1	P05756-P0C0W1-EXP-6fai.pdb1-N-0-W-0.pdb	190.941650391	15.4463	17.3741	0.37179	17.1408	32.9914
RPS21A	YKR057W	P0C0V8	RPS22A	YJL190C	P0C0W1	P0C0V8-P0C0W1-EXP-6fai.pdb1-V-0-W-0.pdb	253.834228516	6.07697	18.797	-2.14398	44.1111	34.1179
RPS9A	YPL081W	O13516	RPS24A	YER074W	P0CX31	O13516-P0CX31-EXP-6fai.pdb1-J-0-Y-0.pdb	165.349121094	19.747	15.1933	0.182535	89.0244	50.8142
RPS9A	YPL081W	O13516	RPS30A	YLR287C-A	P0CX33	O13516-P0CX33-EXP-6fai.pdb1-J-0-e-0.pdb	497.4677734380001	21.7336	3.5511	-9.18273	91.9385	44.3986
RPS23A	YGR118W	P0CX29	RPS30A	YLR287C-A	P0CX33	P0CX29-P0CX33-EXP-6rbe.pdb1-X-0-e-0.pdb	553.0427246090001	12.6672	2.61917	-2.37249	110.48	51.3192
RPS9A	YPL081W	O13516	RPS4A	YJR145C	P0CX35	O13516-P0CX35-EXP-6fai.pdb1-J-0-E-0.pdb	310.615722656	17.7564	40.813	-2.80505	87.4641	112.257
RPS24A	YER074W	P0CX31	RPS4A	YJR145C	P0CX35	P0CX31-P0CX35-EXP-6fai.pdb1-Y-0-E-0.pdb	534.6015625	14.102	40.462	-12.8169	51.7121	110.398
RPS9A	YPL081W	O13516	RPS2	YGL123W	P25443	O13516-P25443-EXP-6fai.pdb1-J-0-C-0.pdb	358.232910156	18.0898	32.8942	-5.25385	86.9971	87.5724
