pair	gene_name_a	gene_name_b	contact_probability	pDockQ	PPV_from_pDockQ	model_confidence	iPAE	CCC	orf_name_a	orf_name_b	MAPPIT_result	GPCA_result	novel	no_previous_structure
YLR021W_YPL144W	IRC25	POC4	0.9998899	0.615	0.9400192	0.8757441754228464	2.0565844	75	YLR021W	YPL144W	False	False	False	False
YHR036W_YNR026C	BRL1	SEC12	0.56636566	0.114	0.68635536	0.2440660618757533	28.069752	0	YHR036W	YNR026C	False	False	True	True
YJL085W_YNL086W	EXO70	SNN1	0.48560402	0.048	0.63555449	0.3064053400509329	23.947819	0	YJL085W	YNL086W	False	False	True	True
YDR523C_YKL189W	SPS1	HYM1	0.9983087	0.519	0.90043139	0.7865704389304252	5.0007305	87	YDR523C	YKL189W	False	False	True	True
YKL012W_YLR119W	PRP40	SRN2	0.9490038	0.035	0.63555449	0.5741362148929652	10.317948	7	YKL012W	YLR119W	False	False	True	True
YDR202C_YJL004C	RAV2	SYS1	0.19371125	0.146	0.71391784	0.2594496365709127	24.055279	0	YDR202C	YJL004C	False	False	True	True
YGR142W_YNL055C	BTN2	POR1	0.4784389	0.238	0.77766077	0.25831405441404254	27.772512	0	YGR142W	YNL055C	False	False	True	True
YNL075W_YNL147W	IMP4	LSM7	0.8768593	0.213	0.75941223	0.5574982397498248	9.597736	0	YNL075W	YNL147W	False	False	True	True
YBR175W_YJR128W	SWD3	YJR128W	0.645688	0.078	0.66728511	0.33512926042291113	16.25069	0	YBR175W	YJR128W	True	False	True	True
YIR018W_YNL189W	YAP5	SRP1	0.78678435	0.162	0.73044282	0.4727322883518978	24.732079	0	YIR018W	YNL189W	False	False	True	True
YDL049C_YNL204C	KNH1	SPS18	0.7570958	0.091	0.66728511	0.2912431741331612	23.327261	0	YDL049C	YNL204C	False	False	True	True
YGL215W_YGR067C	CLG1	YGR067C	0.91294205	0.09	0.66728511	0.39557001873726316	27.71106	2	YGL215W	YGR067C	False	False	True	True
YBL039W-B_YPR128C	YBL039W-B	ANT1	0.52145904	0.152	0.71391784	0.3532006315715158	20.133684	0	YBL039W-B	YPR128C	False	False	True	True
YDR308C_YJL036W	SRB7	SNX4	0.36798704	0.039	0.63555449	0.38917527805711516	22.702572	0	YDR308C	YJL036W	False	False	True	True
YKL184W_YML130C	SPE1	ERO1	0.34469342	0.08	0.66728511	0.26112722985357045	25.35672	0	YKL184W	YML130C	False	False	True	True
YKR022C_YMR239C	NTR2	RNT1	0.566841	0.043	0.63555449	0.26885221403130466	22.719961	0	YKR022C	YMR239C	False	False	True	True
YJR015W_YNL111C	YJR015W	CYB5	0.9505977	0.125	0.70615739	0.5053978523897038	5.8818417	0	YJR015W	YNL111C	False	True	True	True
YGR048W_YPL192C	UFD1	PRM3	0.9035048	0.244	0.77766077	0.40087652068684576	8.846205	0	YGR048W	YPL192C	False	False	True	True
YCL017C_YER094C	NFS1	PUP3	0.38920504	0.049	0.63555449	0.3044806727893513	23.51027	0	YCL017C	YER094C	False	False	True	True
YKL164C_YLR291C	PIR1	GCD7	0.15739343	0.097	0.66728511	0.22209361550414758	26.89513	0	YKL164C	YLR291C	False	False	True	True
YJR011C_YOR158W	YJR011C	PET123	0.59531623	0.066	0.63555449	0.2477324303268923	25.32828	0	YJR011C	YOR158W	False	False	True	True
YBL082C_YCR094W	ALG3	CDC50	0.7579373	0.058	0.63555449	0.551795482040652	23.913475	0	YBL082C	YCR094W	False	True	True	True
YDL053C_YER016W	PBP4	BIM1	0.5268758	0.04	0.63555449	0.17688407186299704	24.464745	0	YDL053C	YER016W	False	False	True	True
YHR067W_YKL192C	HTD2	ACP1	0.99772215	0.221	0.77766077	0.8197498456798412	2.5354025	28	YHR067W	YKL192C	False	False	True	True
YER026C_YMR153W	CHO1	NUP53	0.74893546	0.048	0.63555449	0.33864056344309723	28.828463	0	YER026C	YMR153W	False	False	True	True
YBR187W_YDR373W	GDT1	FRQ1	0.8963735	0.225	0.77766077	0.5073099737799432	22.225067	0	YBR187W	YDR373W	False	False	True	True
YDL110C_YGL048C	TMA17	RPT6	0.9966601	0.181	0.74006263	0.6240126294471113	21.259487	46	YDL110C	YGL048C	False	True	True	True
YDR130C_YOR368W	FIN1	RAD17	0.8462259	0.157	0.73044282	0.4682445672858646	23.128431	0	YDR130C	YOR368W	False	False	True	True
YDL116W_YKR082W	NUP84	NUP133	0.99073493	0.451	0.88570037	0.6130848315989401	2.6075153	53	YDL116W	YKR082W	True	True	False	False
YDR388W_YIR018W	RVS167	YAP5	0.7286808	0.026	0.55890174	0.23200019557732712	13.558054	0	YDR388W	YIR018W	False	False	True	True
YKL108W_YPR120C	SLD2	CLB5	0.99619806	0.455	0.88570037	0.5847832694924872	26.040611	51	YKL108W	YPR120C	False	False	False	True
YCR095C_YDR067C	OCA4	OCA6	0.9994639	0.596	0.93172991	0.7901875828035713	2.1952696	57	YCR095C	YDR067C	True	False	False	True
YDR142C_YML030W	PEX7	RCF1	0.5467242	0.11	0.68635536	0.2797166235496399	19.563412	0	YDR142C	YML030W	False	False	True	True
YBL081W_YDR142C	YBL081W	PEX7	0.6315087	0.105	0.68635536	0.34987877617831953	23.769855	0	YBL081W	YDR142C	False	False	True	True
YAL036C_YDR022C	RBG1	ATG31	0.20029426	0.049	0.63555449	0.23404425690721437	25.98804	0	YAL036C	YDR022C	False	False	True	True
YDL087C_YKL138C-A	LUC7	HSK3	0.9075309	0.236	0.77766077	0.5545580944199215	8.97913	0	YDL087C	YKL138C-A	False	False	True	True
YJR152W_YLL014W	DAL5	EMC6	0.28802913	0.17	0.73044282	0.3325324957639787	20.04163	0	YJR152W	YLL014W	False	False	True	True
YER124C_YML051W	DSE1	GAL80	0.60510975	0.068	0.63555449	0.4352000119611101	24.8862	0	YER124C	YML051W	False	False	True	True
YDR295C_YPL121C	HDA2	MEI5	0.37078977	0.044	0.63555449	0.22302724204878846	27.623308	0	YDR295C	YPL121C	True	False	True	True
YER149C_YKL012W	PEA2	PRP40	0.9795835	0.262	0.78549007	0.4599997334716242	4.8322287	44	YER149C	YKL012W	False	False	True	True
YDL233W_YGR142W	MFG1	BTN2	0.74672025	0.202	0.75941223	0.25541897502900635	28.852312	0	YDL233W	YGR142W	False	False	True	True
YDR328C_YGR222W	SKP1	PET54	0.69904625	0.122	0.70615739	0.24187889171114954	23.094143	0	YDR328C	YGR222W	False	False	True	True
YNL189W_YPL173W	SRP1	MRPL40	0.64659154	0.055	0.63555449	0.2870862914729775	25.187634	0	YNL189W	YPL173W	False	False	True	True
YBR260C_YPL140C	RGD1	MKK2	0.95112276	0.149	0.71391784	0.33712878947819724	27.40123	24	YBR260C	YPL140C	False	False	False	True
YDR328C_YMR258C	SKP1	ROY1	0.9998134	0.69	0.98128027	0.8803022350787778	3.2876174	116	YDR328C	YMR258C	True	True	False	True
YCR054C_YGR181W	CTR86	TIM13	0.7027581	0.134	0.70615739	0.5133165105729467	11.252699	0	YCR054C	YGR181W	False	False	True	True
YLR267W_YNL189W	BOP2	SRP1	0.13344796	0.054	0.63555449	0.22566657565818	29.7126	0	YLR267W	YNL189W	False	False	True	True
YDR373W_YMR122W-A	FRQ1	YMR122W-A	0.9836371	0.288	0.80223507	0.6796310587388656	6.9110236	67	YDR373W	YMR122W-A	False	False	True	True
YMR146C_YPL105C	TIF34	SYH1	0.9795557	0.278	0.80223507	0.7676171990895033	19.362091	26	YMR146C	YPL105C	False	False	False	True
YDL087C_YPR083W	LUC7	MDM36	0.8732655	0.175	0.73044282	0.41683156248952163	21.605146	0	YDL087C	YPR083W	False	False	True	True
YGL115W_YOL128C	SNF4	YGK3	0.6108742	0.234	0.77766077	0.380999782910773	18.920376	0	YGL115W	YOL128C	False	False	True	True
YJR011C_YPR107C	YJR011C	YTH1	0.4276462	0.112	0.68635536	0.2415998044117812	20.169672	0	YJR011C	YPR107C	False	False	True	True
YBR165W_YBR270C	UBS1	BIT2	0.9519883	0.228	0.77766077	0.570275423531227	6.54913	25	YBR165W	YBR270C	False	False	True	True
YNL086W_YPL065W	SNN1	VPS28	0.7837592	0.083	0.66728511	0.33796443919796576	18.472538	0	YNL086W	YPL065W	False	False	True	True
YOR269W_YPR040W	PAC1	TIP41	0.78436846	0.1	0.68635536	0.4652435985614213	12.756179	0	YOR269W	YPR040W	False	False	True	True
YGR195W_YPR045C	SKI6	THP3	0.79632187	0.38	0.85453785	0.5218872334816068	25.960434	0	YGR195W	YPR045C	False	False	True	True
YBR114W_YML095C	RAD16	RAD10	0.77015465	0.038	0.63555449	0.47582830335227844	30.274147	0	YBR114W	YML095C	False	False	True	True
YBR170C_YIR015W	NPL4	RPR2	0.34799665	0.22	0.77766077	0.29465596263436267	22.221262	0	YBR170C	YIR015W	False	False	True	True
YDL097C_YDL242W	RPN6	YDL242W	0.5442074	0.151	0.71391784	0.333133358923691	17.693836	0	YDL097C	YDL242W	True	False	True	True
